Scaler,n_estimators,max_depth,learning_rate,ACC,Precision,Recall,F1,ROC-AUC
RobustScaler,100,6,0.05,0.7018,0.734,0.8846,0.8023,0.7069
MinMaxScaler,100,6,0.05,0.7018,0.734,0.8846,0.8023,0.7069
StandardScaler,100,6,0.05,0.7018,0.734,0.8846,0.8023,0.7069
NoScaler,100,6,0.05,0.7018,0.734,0.8846,0.8023,0.7069
MinMaxScaler,100,8,0.05,0.7018,0.7391,0.8718,0.8,0.7023
RobustScaler,100,8,0.05,0.7018,0.7391,0.8718,0.8,0.7023
StandardScaler,100,8,0.05,0.7018,0.7391,0.8718,0.8,0.7023
NoScaler,100,8,0.05,0.7018,0.7391,0.8718,0.8,0.7023
StandardScaler,200,6,0.05,0.7193,0.75,0.8846,0.8118,0.7001
NoScaler,200,6,0.05,0.7193,0.75,0.8846,0.8118,0.7001
MinMaxScaler,200,6,0.05,0.7193,0.75,0.8846,0.8118,0.7001
RobustScaler,200,6,0.05,0.7193,0.75,0.8846,0.8118,0.7001
NoScaler,100,6,0.1,0.7193,0.75,0.8846,0.8118,0.6991
RobustScaler,100,6,0.1,0.7193,0.75,0.8846,0.8118,0.6991
StandardScaler,100,6,0.1,0.7193,0.75,0.8846,0.8118,0.6991
MinMaxScaler,100,6,0.1,0.7193,0.75,0.8846,0.8118,0.6991
StandardScaler,100,4,0.1,0.7105,0.7419,0.8846,0.807,0.6984
RobustScaler,100,4,0.1,0.7105,0.7419,0.8846,0.807,0.6984
NoScaler,100,4,0.1,0.7105,0.7419,0.8846,0.807,0.6984
MinMaxScaler,100,4,0.1,0.7105,0.7419,0.8846,0.807,0.6984
RobustScaler,200,6,0.1,0.6842,0.7283,0.859,0.7882,0.6948
NoScaler,200,6,0.1,0.6842,0.7283,0.859,0.7882,0.6948
StandardScaler,200,6,0.1,0.6842,0.7283,0.859,0.7882,0.6948
MinMaxScaler,200,6,0.1,0.6842,0.7283,0.859,0.7882,0.6948
NoScaler,200,8,0.05,0.6667,0.7128,0.859,0.7791,0.6923
RobustScaler,200,8,0.05,0.6667,0.7128,0.859,0.7791,0.6923
StandardScaler,200,8,0.05,0.6667,0.7128,0.859,0.7791,0.6923
MinMaxScaler,200,8,0.05,0.6667,0.7128,0.859,0.7791,0.6923
MinMaxScaler,200,4,0.05,0.7105,0.7473,0.8718,0.8047,0.692
RobustScaler,200,4,0.05,0.7105,0.7473,0.8718,0.8047,0.692
NoScaler,200,4,0.05,0.7105,0.7473,0.8718,0.8047,0.692
StandardScaler,200,4,0.05,0.7105,0.7473,0.8718,0.8047,0.692
MinMaxScaler,100,8,0.1,0.693,0.7416,0.8462,0.7904,0.6884
RobustScaler,100,8,0.1,0.693,0.7416,0.8462,0.7904,0.6884
StandardScaler,100,8,0.1,0.693,0.7416,0.8462,0.7904,0.6884
NoScaler,100,8,0.1,0.693,0.7416,0.8462,0.7904,0.6884
NoScaler,100,4,0.05,0.7105,0.732,0.9103,0.8114,0.6866
RobustScaler,100,4,0.05,0.7105,0.732,0.9103,0.8114,0.6866
MinMaxScaler,100,4,0.05,0.7105,0.732,0.9103,0.8114,0.6866
StandardScaler,100,4,0.05,0.7105,0.732,0.9103,0.8114,0.6866
StandardScaler,200,8,0.1,0.693,0.7416,0.8462,0.7904,0.6823
NoScaler,200,8,0.1,0.693,0.7416,0.8462,0.7904,0.6823
RobustScaler,200,8,0.1,0.693,0.7416,0.8462,0.7904,0.6823
MinMaxScaler,200,8,0.1,0.693,0.7416,0.8462,0.7904,0.6823
Normalizer,100,4,0.1,0.6754,0.7303,0.8333,0.7784,0.6763
MinMaxScaler,200,4,0.1,0.693,0.7471,0.8333,0.7879,0.6734
StandardScaler,200,4,0.1,0.693,0.7471,0.8333,0.7879,0.6734
RobustScaler,200,4,0.1,0.693,0.7471,0.8333,0.7879,0.6734
NoScaler,200,4,0.1,0.693,0.7471,0.8333,0.7879,0.6734
Normalizer,100,4,0.05,0.6754,0.7356,0.8205,0.7758,0.6674
Normalizer,100,6,0.1,0.6754,0.7412,0.8077,0.773,0.667
Normalizer,200,4,0.1,0.6316,0.7093,0.7821,0.7439,0.6663
Normalizer,200,4,0.05,0.6667,0.7273,0.8205,0.7711,0.666
Normalizer,100,8,0.05,0.6316,0.7045,0.7949,0.747,0.6603
Normalizer,200,6,0.1,0.6316,0.7093,0.7821,0.7439,0.6578
Normalizer,100,8,0.1,0.6228,0.7011,0.7821,0.7394,0.6546
Normalizer,200,8,0.05,0.6228,0.7059,0.7692,0.7362,0.6546
Normalizer,100,6,0.05,0.6053,0.6854,0.7821,0.7305,0.6517
Normalizer,200,6,0.05,0.6228,0.7059,0.7692,0.7362,0.6506
Normalizer,200,8,0.1,0.614,0.7024,0.7564,0.7284,0.6481
