Scaler,n_estimators,max_depth,ACC,Precision,Recall,F1,ROC-AUC
RobustScaler,100,10,0.7281,0.8415,0.7931,0.8166,0.7344
StandardScaler,100,10,0.7281,0.8415,0.7931,0.8166,0.7335
NoScaler,100,10,0.7281,0.8415,0.7931,0.8166,0.7339
MinMaxScaler,100,10,0.7281,0.8415,0.7931,0.8166,0.7331
NoScaler,200,10,0.7193,0.8395,0.7816,0.8095,0.7352
MinMaxScaler,200,10,0.7193,0.8395,0.7816,0.8095,0.7339
MinMaxScaler,200,None,0.7105,0.8214,0.7931,0.807,0.7269
StandardScaler,200,20,0.7105,0.8214,0.7931,0.807,0.7244
RobustScaler,200,20,0.7105,0.8214,0.7931,0.807,0.7207
MinMaxScaler,200,20,0.7105,0.8214,0.7931,0.807,0.7224
Normalizer,100,None,0.7105,0.8462,0.7586,0.8,0.7712
StandardScaler,200,10,0.7105,0.8293,0.7816,0.8047,0.7331
RobustScaler,200,None,0.7105,0.8214,0.7931,0.807,0.7231
StandardScaler,200,None,0.7105,0.8214,0.7931,0.807,0.7265
Normalizer,100,20,0.7105,0.8462,0.7586,0.8,0.7714
NoScaler,200,20,0.7105,0.8214,0.7931,0.807,0.7254
NoScaler,200,None,0.7105,0.8214,0.7931,0.807,0.7275
RobustScaler,200,10,0.7105,0.8293,0.7816,0.8047,0.7344
MinMaxScaler,100,None,0.7018,0.8193,0.7816,0.8,0.7231
Normalizer,100,10,0.7018,0.8442,0.7471,0.7927,0.7748
Normalizer,200,None,0.693,0.8421,0.7356,0.7853,0.778
NoScaler,100,None,0.693,0.8095,0.7816,0.7953,0.7237
RobustScaler,100,None,0.693,0.8095,0.7816,0.7953,0.7216
MinMaxScaler,100,20,0.693,0.8171,0.7701,0.7929,0.7235
Normalizer,200,20,0.693,0.8421,0.7356,0.7853,0.7771
RobustScaler,100,20,0.6842,0.8072,0.7701,0.7882,0.7235
StandardScaler,100,20,0.6842,0.8072,0.7701,0.7882,0.7252
StandardScaler,100,None,0.6842,0.8072,0.7701,0.7882,0.7241
NoScaler,100,20,0.6842,0.8072,0.7701,0.7882,0.7244
Normalizer,200,10,0.6842,0.8312,0.7356,0.7805,0.7705
