Scaler,n_estimators,max_depth,learning_rate,ACC,Precision,Recall,F1,ROC-AUC
Normalizer,200,8,0.05,0.7281,0.8451,0.75,0.7947,0.7614
Normalizer,200,8,0.1,0.7105,0.8507,0.7125,0.7755,0.7566
Normalizer,200,6,0.1,0.7018,0.8485,0.7,0.7671,0.7559
Normalizer,100,8,0.1,0.7193,0.8429,0.7375,0.7867,0.7551
Normalizer,200,6,0.05,0.7193,0.8429,0.7375,0.7867,0.7548
Normalizer,100,8,0.05,0.693,0.8358,0.7,0.7619,0.7511
Normalizer,100,6,0.05,0.7018,0.8485,0.7,0.7671,0.7507
Normalizer,100,6,0.1,0.693,0.8358,0.7,0.7619,0.7482
StandardScaler,200,8,0.1,0.6842,0.7895,0.75,0.7692,0.7386
NoScaler,200,8,0.1,0.6842,0.7895,0.75,0.7692,0.7386
RobustScaler,200,8,0.1,0.6842,0.7895,0.75,0.7692,0.7386
MinMaxScaler,200,8,0.1,0.6842,0.7895,0.75,0.7692,0.7386
Normalizer,200,4,0.1,0.693,0.8358,0.7,0.7619,0.7342
NoScaler,100,8,0.1,0.6754,0.7792,0.75,0.7643,0.7309
RobustScaler,100,8,0.1,0.6754,0.7792,0.75,0.7643,0.7309
StandardScaler,100,8,0.1,0.6754,0.7792,0.75,0.7643,0.7309
MinMaxScaler,100,8,0.1,0.6754,0.7792,0.75,0.7643,0.7309
Normalizer,100,4,0.1,0.6667,0.8387,0.65,0.7324,0.7257
RobustScaler,200,4,0.05,0.6579,0.7808,0.7125,0.7451,0.7232
MinMaxScaler,200,4,0.05,0.6579,0.7808,0.7125,0.7451,0.7232
NoScaler,200,4,0.05,0.6579,0.7808,0.7125,0.7451,0.7232
StandardScaler,200,4,0.05,0.6579,0.7808,0.7125,0.7451,0.7232
NoScaler,100,6,0.1,0.6842,0.7895,0.75,0.7692,0.7224
MinMaxScaler,100,6,0.1,0.6842,0.7895,0.75,0.7692,0.7224
StandardScaler,100,6,0.1,0.6842,0.7895,0.75,0.7692,0.7224
RobustScaler,100,6,0.1,0.6842,0.7895,0.75,0.7692,0.7224
StandardScaler,100,4,0.1,0.6754,0.7792,0.75,0.7643,0.7202
MinMaxScaler,100,4,0.1,0.6754,0.7792,0.75,0.7643,0.7202
NoScaler,100,4,0.1,0.6754,0.7792,0.75,0.7643,0.7202
RobustScaler,100,4,0.1,0.6754,0.7792,0.75,0.7643,0.7202
RobustScaler,200,8,0.05,0.6754,0.7867,0.7375,0.7613,0.7165
NoScaler,200,8,0.05,0.6754,0.7867,0.7375,0.7613,0.7165
StandardScaler,200,8,0.05,0.6754,0.7867,0.7375,0.7613,0.7165
MinMaxScaler,200,8,0.05,0.6754,0.7867,0.7375,0.7613,0.7165
Normalizer,200,4,0.05,0.6579,0.8254,0.65,0.7273,0.7154
StandardScaler,200,6,0.1,0.6667,0.7763,0.7375,0.7564,0.7143
NoScaler,200,6,0.1,0.6667,0.7763,0.7375,0.7564,0.7143
MinMaxScaler,200,6,0.1,0.6667,0.7763,0.7375,0.7564,0.7143
RobustScaler,200,6,0.1,0.6667,0.7763,0.7375,0.7564,0.7143
StandardScaler,100,8,0.05,0.6667,0.7838,0.725,0.7532,0.714
MinMaxScaler,100,8,0.05,0.6667,0.7838,0.725,0.7532,0.714
NoScaler,100,8,0.05,0.6667,0.7838,0.725,0.7532,0.714
RobustScaler,100,8,0.05,0.6667,0.7838,0.725,0.7532,0.714
Normalizer,100,4,0.05,0.6491,0.8333,0.625,0.7143,0.7136
StandardScaler,100,4,0.05,0.6316,0.7879,0.65,0.7123,0.7077
NoScaler,100,4,0.05,0.6316,0.7879,0.65,0.7123,0.7077
RobustScaler,100,4,0.05,0.6316,0.7879,0.65,0.7123,0.7077
MinMaxScaler,100,4,0.05,0.6316,0.7879,0.65,0.7123,0.7077
StandardScaler,100,6,0.05,0.6491,0.7778,0.7,0.7368,0.7062
RobustScaler,100,6,0.05,0.6491,0.7778,0.7,0.7368,0.7062
MinMaxScaler,100,6,0.05,0.6491,0.7778,0.7,0.7368,0.7062
NoScaler,100,6,0.05,0.6491,0.7778,0.7,0.7368,0.7062
RobustScaler,200,6,0.05,0.6842,0.7821,0.7625,0.7722,0.7048
MinMaxScaler,200,6,0.05,0.6842,0.7821,0.7625,0.7722,0.7048
NoScaler,200,6,0.05,0.6842,0.7821,0.7625,0.7722,0.7048
StandardScaler,200,6,0.05,0.6842,0.7821,0.7625,0.7722,0.7048
RobustScaler,200,4,0.1,0.6754,0.7792,0.75,0.7643,0.704
NoScaler,200,4,0.1,0.6754,0.7792,0.75,0.7643,0.704
MinMaxScaler,200,4,0.1,0.6754,0.7792,0.75,0.7643,0.704
StandardScaler,200,4,0.1,0.6754,0.7792,0.75,0.7643,0.704
