Scaler,n_estimators,max_depth,ACC,Precision,Recall,F1,ROC-AUC
RobustScaler,200,20,0.7105,0.8133,0.7625,0.7871,0.754
NoScaler,100,None,0.7018,0.8194,0.7375,0.7763,0.75
StandardScaler,200,None,0.7018,0.8108,0.75,0.7792,0.7504
RobustScaler,100,20,0.7018,0.8194,0.7375,0.7763,0.7493
RobustScaler,100,None,0.7018,0.8194,0.7375,0.7763,0.7504
MinMaxScaler,200,20,0.7018,0.8108,0.75,0.7792,0.7557
MinMaxScaler,100,None,0.7018,0.8194,0.7375,0.7763,0.7511
StandardScaler,200,20,0.7018,0.8108,0.75,0.7792,0.7531
MinMaxScaler,200,None,0.7018,0.8108,0.75,0.7792,0.7522
NoScaler,200,20,0.7018,0.8108,0.75,0.7792,0.7561
NoScaler,200,None,0.693,0.8082,0.7375,0.7712,0.7535
Normalizer,200,None,0.693,0.8261,0.7125,0.7651,0.7618
StandardScaler,100,None,0.693,0.8169,0.725,0.7682,0.75
Normalizer,100,20,0.693,0.8261,0.7125,0.7651,0.757
MinMaxScaler,100,20,0.693,0.8169,0.725,0.7682,0.7502
Normalizer,100,None,0.693,0.8261,0.7125,0.7651,0.7579
NoScaler,100,20,0.693,0.8169,0.725,0.7682,0.7491
RobustScaler,200,None,0.693,0.8082,0.7375,0.7712,0.7524
StandardScaler,100,20,0.6842,0.8143,0.7125,0.76,0.7494
Normalizer,200,20,0.6842,0.8143,0.7125,0.76,0.7636
NoScaler,100,10,0.6579,0.8154,0.6625,0.731,0.7478
Normalizer,100,10,0.6491,0.8226,0.6375,0.7183,0.7456
MinMaxScaler,100,10,0.6491,0.8125,0.65,0.7222,0.7449
StandardScaler,100,10,0.6491,0.8125,0.65,0.7222,0.7493
RobustScaler,100,10,0.6491,0.8125,0.65,0.7222,0.7467
StandardScaler,200,10,0.6404,0.8095,0.6375,0.7133,0.7386
NoScaler,200,10,0.6404,0.8095,0.6375,0.7133,0.7375
RobustScaler,200,10,0.6404,0.8095,0.6375,0.7133,0.7379
MinMaxScaler,200,10,0.6404,0.8095,0.6375,0.7133,0.7364
Normalizer,200,10,0.6316,0.8167,0.6125,0.7,0.7566
