Scaler,n_estimators,max_depth,learning_rate,ACC,Precision,Recall,F1,ROC-AUC
Normalizer,100,4,0.1,0.7544,0.8172,0.8736,0.8444,0.8003
Normalizer,100,6,0.1,0.7632,0.8191,0.8851,0.8508,0.794
Normalizer,200,4,0.1,0.7368,0.8276,0.8276,0.8276,0.7901
StandardScaler,100,8,0.05,0.7456,0.8152,0.8621,0.838,0.7846
MinMaxScaler,100,8,0.05,0.7456,0.8152,0.8621,0.838,0.7846
NoScaler,100,8,0.05,0.7456,0.8152,0.8621,0.838,0.7846
RobustScaler,100,8,0.05,0.7456,0.8152,0.8621,0.838,0.7846
Normalizer,200,4,0.05,0.7281,0.8182,0.8276,0.8229,0.7842
Normalizer,100,8,0.1,0.7807,0.837,0.8851,0.8603,0.7837
Normalizer,200,6,0.05,0.7368,0.8065,0.8621,0.8333,0.782
Normalizer,100,6,0.05,0.7281,0.8111,0.8391,0.8249,0.7795
MinMaxScaler,100,6,0.05,0.7105,0.7872,0.8506,0.8177,0.7782
NoScaler,100,6,0.05,0.7105,0.7872,0.8506,0.8177,0.7782
RobustScaler,100,6,0.05,0.7105,0.7872,0.8506,0.8177,0.7782
StandardScaler,100,6,0.05,0.7105,0.7872,0.8506,0.8177,0.7782
Normalizer,100,8,0.05,0.7368,0.8276,0.8276,0.8276,0.7769
Normalizer,100,4,0.05,0.7193,0.8022,0.8391,0.8202,0.7748
Normalizer,200,6,0.1,0.7544,0.8242,0.8621,0.8427,0.7748
MinMaxScaler,100,4,0.05,0.7281,0.7979,0.8621,0.8287,0.7735
NoScaler,100,4,0.05,0.7281,0.7979,0.8621,0.8287,0.7735
RobustScaler,100,4,0.05,0.7281,0.7979,0.8621,0.8287,0.7735
StandardScaler,100,4,0.05,0.7281,0.7979,0.8621,0.8287,0.7735
RobustScaler,100,6,0.1,0.7193,0.8022,0.8391,0.8202,0.7731
MinMaxScaler,100,6,0.1,0.7193,0.8022,0.8391,0.8202,0.7731
NoScaler,100,6,0.1,0.7193,0.8022,0.8391,0.8202,0.7731
StandardScaler,100,6,0.1,0.7193,0.8022,0.8391,0.8202,0.7731
RobustScaler,200,8,0.05,0.7193,0.809,0.8276,0.8182,0.7727
StandardScaler,200,8,0.05,0.7193,0.809,0.8276,0.8182,0.7727
MinMaxScaler,200,8,0.05,0.7193,0.809,0.8276,0.8182,0.7727
NoScaler,200,8,0.05,0.7193,0.809,0.8276,0.8182,0.7727
Normalizer,200,8,0.1,0.7544,0.8315,0.8506,0.8409,0.7701
NoScaler,100,4,0.1,0.7018,0.7912,0.8276,0.809,0.7697
RobustScaler,100,4,0.1,0.7018,0.7912,0.8276,0.809,0.7697
MinMaxScaler,100,4,0.1,0.7018,0.7912,0.8276,0.809,0.7697
StandardScaler,100,4,0.1,0.7018,0.7912,0.8276,0.809,0.7697
Normalizer,200,8,0.05,0.7368,0.8276,0.8276,0.8276,0.7667
RobustScaler,200,6,0.1,0.7368,0.8202,0.8391,0.8295,0.7625
MinMaxScaler,200,6,0.1,0.7368,0.8202,0.8391,0.8295,0.7625
NoScaler,200,6,0.1,0.7368,0.8202,0.8391,0.8295,0.7625
StandardScaler,200,6,0.1,0.7368,0.8202,0.8391,0.8295,0.7625
StandardScaler,200,4,0.05,0.6842,0.7802,0.8161,0.7978,0.762
NoScaler,200,4,0.05,0.6842,0.7802,0.8161,0.7978,0.762
MinMaxScaler,200,4,0.05,0.6842,0.7802,0.8161,0.7978,0.762
RobustScaler,200,4,0.05,0.6842,0.7802,0.8161,0.7978,0.762
RobustScaler,100,8,0.1,0.7193,0.809,0.8276,0.8182,0.7586
MinMaxScaler,100,8,0.1,0.7193,0.809,0.8276,0.8182,0.7586
MinMaxScaler,200,6,0.05,0.7018,0.7978,0.8161,0.8068,0.7586
StandardScaler,200,6,0.05,0.7018,0.7978,0.8161,0.8068,0.7586
StandardScaler,100,8,0.1,0.7193,0.809,0.8276,0.8182,0.7586
RobustScaler,200,6,0.05,0.7018,0.7978,0.8161,0.8068,0.7586
NoScaler,200,6,0.05,0.7018,0.7978,0.8161,0.8068,0.7586
NoScaler,100,8,0.1,0.7193,0.809,0.8276,0.8182,0.7586
RobustScaler,200,8,0.1,0.7281,0.8111,0.8391,0.8249,0.7544
MinMaxScaler,200,8,0.1,0.7281,0.8111,0.8391,0.8249,0.7544
NoScaler,200,8,0.1,0.7281,0.8111,0.8391,0.8249,0.7544
StandardScaler,200,8,0.1,0.7281,0.8111,0.8391,0.8249,0.7544
RobustScaler,200,4,0.1,0.7018,0.7912,0.8276,0.809,0.7539
NoScaler,200,4,0.1,0.7018,0.7912,0.8276,0.809,0.7539
StandardScaler,200,4,0.1,0.7018,0.7912,0.8276,0.809,0.7539
MinMaxScaler,200,4,0.1,0.7018,0.7912,0.8276,0.809,0.7539
