Scaler,n_estimators,max_depth,ACC,Precision,Recall,F1,ROC-AUC
Normalizer,200,None,0.693,0.7733,0.7632,0.7682,0.7249
Normalizer,200,20,0.6842,0.7632,0.7632,0.7632,0.7242
Normalizer,100,None,0.6842,0.7703,0.75,0.76,0.7258
NoScaler,100,20,0.6754,0.7407,0.7895,0.7643,0.7162
Normalizer,100,20,0.6754,0.76,0.75,0.755,0.7235
RobustScaler,100,20,0.6667,0.7317,0.7895,0.7595,0.7138
NoScaler,100,None,0.6667,0.7375,0.7763,0.7564,0.713
RobustScaler,100,None,0.6579,0.7284,0.7763,0.7516,0.7112
Normalizer,200,10,0.6579,0.7761,0.6842,0.7273,0.7316
StandardScaler,100,None,0.6579,0.7284,0.7763,0.7516,0.7088
MinMaxScaler,100,10,0.6579,0.7606,0.7105,0.7347,0.7104
MinMaxScaler,100,20,0.6579,0.7284,0.7763,0.7516,0.714
RobustScaler,100,10,0.6579,0.7606,0.7105,0.7347,0.7079
StandardScaler,100,20,0.6579,0.7284,0.7763,0.7516,0.713
MinMaxScaler,200,20,0.6491,0.7195,0.7763,0.7468,0.7197
NoScaler,200,20,0.6491,0.7195,0.7763,0.7468,0.7178
RobustScaler,200,20,0.6491,0.7195,0.7763,0.7468,0.7207
MinMaxScaler,200,None,0.6491,0.7195,0.7763,0.7468,0.7176
NoScaler,100,10,0.6491,0.75,0.7105,0.7297,0.7107
MinMaxScaler,100,None,0.6491,0.725,0.7632,0.7436,0.7109
StandardScaler,200,20,0.6491,0.7195,0.7763,0.7468,0.7171
RobustScaler,200,None,0.6404,0.716,0.7632,0.7389,0.7181
Normalizer,100,10,0.6404,0.7692,0.6579,0.7092,0.7232
NoScaler,200,None,0.6404,0.716,0.7632,0.7389,0.7159
StandardScaler,200,None,0.6404,0.716,0.7632,0.7389,0.7143
RobustScaler,200,10,0.6316,0.7179,0.7368,0.7273,0.7195
StandardScaler,100,10,0.6316,0.7297,0.7105,0.72,0.7086
MinMaxScaler,200,10,0.6228,0.7143,0.7237,0.719,0.7185
NoScaler,200,10,0.6228,0.7089,0.7368,0.7226,0.7175
StandardScaler,200,10,0.614,0.7,0.7368,0.7179,0.7202
