Scaler,n_estimators,max_depth,ACC,Precision,Recall,F1,ROC-AUC
MinMaxScaler,200,20,0.8329,0.8331,0.8329,0.833,0.9409
NoScaler,200,20,0.8323,0.8326,0.8323,0.8324,0.941
RobustScaler,200,20,0.8306,0.8308,0.8306,0.8307,0.9409
StandardScaler,200,20,0.8306,0.8309,0.8306,0.8307,0.9409
MinMaxScaler,100,20,0.83,0.8303,0.83,0.8302,0.9394
NoScaler,100,20,0.8289,0.8294,0.8289,0.8291,0.9396
NoScaler,100,None,0.8283,0.8291,0.8283,0.8286,0.941
StandardScaler,100,20,0.8283,0.8287,0.8283,0.8285,0.9394
StandardScaler,100,None,0.8277,0.8285,0.8277,0.828,0.9408
RobustScaler,100,20,0.8272,0.8275,0.8272,0.8273,0.9395
MinMaxScaler,100,None,0.8266,0.8274,0.8266,0.8269,0.9408
RobustScaler,100,None,0.8266,0.8275,0.8266,0.827,0.941
MinMaxScaler,200,None,0.826,0.8264,0.826,0.8262,0.9412
NoScaler,200,None,0.826,0.8264,0.826,0.8262,0.9414
RobustScaler,200,None,0.8255,0.8258,0.8255,0.8256,0.9413
StandardScaler,200,None,0.8255,0.8259,0.8255,0.8257,0.9412
RobustScaler,100,10,0.801,0.8036,0.801,0.8018,0.924
StandardScaler,100,10,0.8005,0.8031,0.8005,0.8012,0.9239
MinMaxScaler,100,10,0.8005,0.803,0.8005,0.8012,0.9239
NoScaler,100,10,0.7999,0.8023,0.7999,0.8006,0.924
NoScaler,200,10,0.7993,0.8022,0.7993,0.8001,0.9253
StandardScaler,200,10,0.7993,0.8022,0.7993,0.8001,0.9252
RobustScaler,200,10,0.7993,0.8022,0.7993,0.8001,0.9252
MinMaxScaler,200,10,0.7987,0.8016,0.7987,0.7995,0.9252
Normalizer,200,20,0.7169,0.7169,0.7169,0.7169,0.8702
Normalizer,100,20,0.7157,0.7159,0.7157,0.7158,0.8692
Normalizer,200,None,0.7123,0.7122,0.7123,0.7123,0.8701
Normalizer,100,None,0.7112,0.7112,0.7112,0.7112,0.868
Normalizer,200,10,0.6947,0.6967,0.6947,0.6944,0.8586
Normalizer,100,10,0.6896,0.692,0.6896,0.6893,0.8572
