Scaler,n_estimators,max_depth,ACC,Precision,Recall,F1,ROC-AUC
Normalizer,200,20,0.693,0.703,0.9342,0.8023,0.7226
Normalizer,200,None,0.693,0.703,0.9342,0.8023,0.7226
Normalizer,200,10,0.6842,0.7041,0.9079,0.7931,0.7415
Normalizer,100,10,0.6842,0.7,0.9211,0.7955,0.7457
NoScaler,200,10,0.6491,0.6875,0.8684,0.7674,0.6929
RobustScaler,200,10,0.6491,0.6875,0.8684,0.7674,0.6956
RobustScaler,100,10,0.6491,0.6915,0.8553,0.7647,0.6963
StandardScaler,200,10,0.6491,0.6875,0.8684,0.7674,0.6984
NoScaler,100,10,0.6491,0.6915,0.8553,0.7647,0.6932
MinMaxScaler,100,None,0.6404,0.6842,0.8553,0.7602,0.6825
Normalizer,100,20,0.6404,0.6842,0.8553,0.7602,0.7053
MinMaxScaler,200,10,0.6404,0.6842,0.8553,0.7602,0.6953
NoScaler,100,None,0.6404,0.6842,0.8553,0.7602,0.6854
StandardScaler,100,10,0.6404,0.6882,0.8421,0.7574,0.6946
StandardScaler,100,None,0.6404,0.6842,0.8553,0.7602,0.6844
MinMaxScaler,100,10,0.6316,0.6809,0.8421,0.7529,0.6946
NoScaler,100,20,0.6316,0.6809,0.8421,0.7529,0.6861
NoScaler,200,None,0.6316,0.6809,0.8421,0.7529,0.696
NoScaler,200,20,0.6316,0.6809,0.8421,0.7529,0.6986
Normalizer,100,None,0.6316,0.6771,0.8553,0.7558,0.7067
RobustScaler,200,20,0.6316,0.6809,0.8421,0.7529,0.6993
RobustScaler,200,None,0.6316,0.6809,0.8421,0.7529,0.6965
MinMaxScaler,100,20,0.6316,0.6809,0.8421,0.7529,0.682
RobustScaler,100,20,0.6316,0.6809,0.8421,0.7529,0.6847
StandardScaler,100,20,0.6316,0.6809,0.8421,0.7529,0.6851
RobustScaler,100,None,0.6316,0.6809,0.8421,0.7529,0.6844
MinMaxScaler,200,20,0.6316,0.6809,0.8421,0.7529,0.6941
StandardScaler,200,None,0.6316,0.6809,0.8421,0.7529,0.6949
StandardScaler,200,20,0.6316,0.6809,0.8421,0.7529,0.6972
MinMaxScaler,200,None,0.6316,0.6809,0.8421,0.7529,0.6925
