Scaler,n_estimators,max_depth,ACC,Precision,Recall,F1,ROC-AUC
RobustScaler,200,20,0.7281,0.7474,0.9103,0.8208,0.7133
RobustScaler,200,None,0.7281,0.7474,0.9103,0.8208,0.7135
NoScaler,200,20,0.7193,0.7396,0.9103,0.8161,0.7117
RobustScaler,200,10,0.7193,0.7347,0.9231,0.8182,0.7121
MinMaxScaler,200,10,0.7193,0.7347,0.9231,0.8182,0.7165
NoScaler,100,10,0.7105,0.732,0.9103,0.8114,0.7238
NoScaler,200,None,0.7105,0.7368,0.8974,0.8092,0.7114
NoScaler,200,10,0.7105,0.732,0.9103,0.8114,0.7133
RobustScaler,100,10,0.7105,0.732,0.9103,0.8114,0.7267
StandardScaler,200,10,0.7105,0.732,0.9103,0.8114,0.7142
StandardScaler,200,20,0.7105,0.732,0.9103,0.8114,0.7124
NoScaler,100,None,0.7018,0.7292,0.8974,0.8046,0.7203
MinMaxScaler,200,20,0.7018,0.7245,0.9103,0.8068,0.7153
MinMaxScaler,200,None,0.7018,0.7245,0.9103,0.8068,0.7142
MinMaxScaler,100,10,0.7018,0.7245,0.9103,0.8068,0.7285
StandardScaler,200,None,0.7018,0.7292,0.8974,0.8046,0.7114
StandardScaler,100,10,0.7018,0.7245,0.9103,0.8068,0.7269
NoScaler,100,20,0.7018,0.7292,0.8974,0.8046,0.7203
MinMaxScaler,100,20,0.693,0.7263,0.8846,0.7977,0.7238
MinMaxScaler,100,None,0.693,0.7263,0.8846,0.7977,0.7238
RobustScaler,100,None,0.693,0.7263,0.8846,0.7977,0.7251
StandardScaler,100,20,0.693,0.7263,0.8846,0.7977,0.7226
RobustScaler,100,20,0.693,0.7263,0.8846,0.7977,0.7251
StandardScaler,100,None,0.693,0.7263,0.8846,0.7977,0.7226
Normalizer,100,None,0.6754,0.7204,0.859,0.7836,0.6941
Normalizer,100,20,0.6754,0.7204,0.859,0.7836,0.6927
Normalizer,200,None,0.6754,0.7158,0.8718,0.7861,0.6809
Normalizer,200,20,0.6754,0.7158,0.8718,0.7861,0.68
Normalizer,200,10,0.6667,0.7128,0.859,0.7791,0.667
Normalizer,100,10,0.6579,0.7053,0.859,0.7746,0.6727
