Scaler,n_estimators,max_depth,ACC,Precision,Recall,F1,ROC-AUC
StandardScaler,100,20,0.8368,0.8375,0.8368,0.8369,0.9456
RobustScaler,100,20,0.8368,0.8374,0.8368,0.8369,0.9454
MinMaxScaler,100,20,0.8368,0.8375,0.8368,0.8369,0.9456
MinMaxScaler,200,20,0.8357,0.8361,0.8357,0.8358,0.9462
NoScaler,100,20,0.8357,0.8363,0.8357,0.8358,0.9456
NoScaler,200,20,0.8357,0.8361,0.8357,0.8358,0.9462
RobustScaler,200,20,0.8346,0.835,0.8346,0.8346,0.9461
StandardScaler,200,20,0.8334,0.8337,0.8334,0.8335,0.9462
MinMaxScaler,200,None,0.8306,0.8309,0.8306,0.8307,0.9439
NoScaler,200,None,0.83,0.8303,0.83,0.8301,0.944
StandardScaler,200,None,0.8289,0.8291,0.8289,0.829,0.944
StandardScaler,100,None,0.8283,0.8284,0.8283,0.8283,0.9432
RobustScaler,200,None,0.8283,0.8286,0.8283,0.8284,0.9439
MinMaxScaler,100,None,0.8272,0.8275,0.8272,0.8273,0.9432
RobustScaler,100,None,0.8266,0.8268,0.8266,0.8267,0.9431
NoScaler,100,None,0.8266,0.8268,0.8266,0.8267,0.9433
RobustScaler,200,10,0.7902,0.7918,0.7902,0.7903,0.9245
MinMaxScaler,200,10,0.7897,0.7912,0.7897,0.7897,0.9244
NoScaler,200,10,0.7897,0.7912,0.7897,0.7897,0.9245
StandardScaler,200,10,0.7891,0.7906,0.7891,0.7891,0.9244
NoScaler,100,10,0.7857,0.7871,0.7857,0.7857,0.9233
MinMaxScaler,100,10,0.7857,0.7871,0.7857,0.7857,0.9232
RobustScaler,100,10,0.7857,0.787,0.7857,0.7856,0.9233
StandardScaler,100,10,0.7845,0.7859,0.7845,0.7845,0.9232
Normalizer,200,None,0.7237,0.7236,0.7237,0.7236,0.8736
Normalizer,200,20,0.7197,0.7201,0.7197,0.7197,0.8755
Normalizer,100,None,0.7163,0.717,0.7163,0.7164,0.8719
Normalizer,100,20,0.7163,0.7165,0.7163,0.7163,0.8743
Normalizer,100,10,0.693,0.6938,0.693,0.6932,0.8519
Normalizer,200,10,0.6913,0.6911,0.6913,0.6911,0.8522
