Scaler,n_estimators,max_depth,ACC,Precision,Recall,F1,ROC-AUC
NoScaler,100,10,0.7368,0.8767,0.7529,0.8101,0.7432
RobustScaler,100,10,0.7281,0.875,0.7412,0.8025,0.742
StandardScaler,100,10,0.7281,0.875,0.7412,0.8025,0.7469
MinMaxScaler,100,10,0.7281,0.875,0.7412,0.8025,0.7448
RobustScaler,200,10,0.7193,0.863,0.7412,0.7975,0.7432
MinMaxScaler,200,10,0.7193,0.863,0.7412,0.7975,0.742
StandardScaler,200,10,0.7193,0.863,0.7412,0.7975,0.7452
NoScaler,200,10,0.7193,0.863,0.7412,0.7975,0.744
StandardScaler,100,None,0.7105,0.8333,0.7647,0.7975,0.7323
StandardScaler,100,20,0.7105,0.8333,0.7647,0.7975,0.7329
NoScaler,200,20,0.7105,0.8333,0.7647,0.7975,0.7387
NoScaler,200,None,0.7105,0.8333,0.7647,0.7975,0.7396
NoScaler,100,20,0.7105,0.8333,0.7647,0.7975,0.7294
StandardScaler,200,None,0.7018,0.8228,0.7647,0.7927,0.7426
RobustScaler,100,20,0.7018,0.8228,0.7647,0.7927,0.7282
StandardScaler,200,20,0.7018,0.8228,0.7647,0.7927,0.7416
RobustScaler,200,20,0.7018,0.8312,0.7529,0.7901,0.7398
MinMaxScaler,100,20,0.7018,0.8228,0.7647,0.7927,0.7314
RobustScaler,200,None,0.7018,0.8312,0.7529,0.7901,0.7391
NoScaler,100,None,0.7018,0.8312,0.7529,0.7901,0.7294
MinMaxScaler,200,None,0.693,0.8205,0.7529,0.7853,0.7408
RobustScaler,100,None,0.693,0.8205,0.7529,0.7853,0.7286
MinMaxScaler,200,20,0.693,0.8205,0.7529,0.7853,0.7391
MinMaxScaler,100,None,0.693,0.8205,0.7529,0.7853,0.732
Normalizer,100,None,0.6404,0.8056,0.6824,0.7389,0.6775
Normalizer,100,10,0.6404,0.8143,0.6706,0.7355,0.6888
Normalizer,100,20,0.6404,0.8056,0.6824,0.7389,0.6797
Normalizer,200,None,0.6404,0.7973,0.6941,0.7421,0.6801
Normalizer,200,10,0.6404,0.8143,0.6706,0.7355,0.6909
Normalizer,200,20,0.6404,0.7973,0.6941,0.7421,0.6773
