Scaler,n_estimators,max_depth,ACC,Precision,Recall,F1,ROC-AUC
MinMaxScaler,100,None,0.8437,0.8438,0.8437,0.8437,0.9446
NoScaler,100,None,0.8431,0.8433,0.8431,0.8431,0.9446
RobustScaler,100,None,0.8425,0.8428,0.8425,0.8426,0.9447
StandardScaler,100,None,0.842,0.8422,0.842,0.842,0.9444
StandardScaler,200,None,0.8414,0.842,0.8414,0.8416,0.9454
RobustScaler,200,None,0.8414,0.842,0.8414,0.8416,0.9456
NoScaler,200,None,0.8414,0.8421,0.8414,0.8417,0.9455
MinMaxScaler,200,None,0.8403,0.8409,0.8403,0.8405,0.9455
RobustScaler,200,20,0.8385,0.8391,0.8385,0.8388,0.9452
StandardScaler,200,20,0.8385,0.839,0.8385,0.8387,0.945
NoScaler,200,20,0.838,0.8384,0.838,0.8382,0.9451
MinMaxScaler,200,20,0.8374,0.8379,0.8374,0.8376,0.9451
RobustScaler,100,20,0.8363,0.8368,0.8363,0.8365,0.9446
StandardScaler,100,20,0.8351,0.8356,0.8351,0.8353,0.9446
NoScaler,100,20,0.8351,0.8356,0.8351,0.8353,0.9446
MinMaxScaler,100,20,0.8346,0.8351,0.8346,0.8348,0.9446
StandardScaler,100,10,0.8084,0.8114,0.8084,0.8091,0.9289
RobustScaler,100,10,0.8084,0.8113,0.8084,0.8091,0.9289
MinMaxScaler,100,10,0.8084,0.8113,0.8084,0.8091,0.929
NoScaler,100,10,0.8078,0.8108,0.8078,0.8085,0.929
NoScaler,200,10,0.8067,0.8105,0.8067,0.8076,0.93
RobustScaler,200,10,0.8067,0.8105,0.8067,0.8076,0.9299
StandardScaler,200,10,0.8067,0.8105,0.8067,0.8076,0.9299
MinMaxScaler,200,10,0.8056,0.8092,0.8056,0.8064,0.93
Normalizer,100,None,0.726,0.7265,0.726,0.7262,0.8741
Normalizer,200,None,0.7248,0.7251,0.7248,0.7249,0.8745
Normalizer,200,20,0.7243,0.7247,0.7243,0.7245,0.8756
Normalizer,100,20,0.722,0.7222,0.722,0.722,0.8748
Normalizer,200,10,0.7067,0.7066,0.7067,0.7066,0.8597
Normalizer,100,10,0.6998,0.6996,0.6998,0.6997,0.8596
