Scaler,n_estimators,max_depth,learning_rate,ACC,Precision,Recall,F1,ROC-AUC
NoScaler,100,4,0.05,0.6491,0.8169,0.6824,0.7436,0.7347
StandardScaler,100,4,0.05,0.6491,0.8169,0.6824,0.7436,0.7347
RobustScaler,100,4,0.05,0.6491,0.8169,0.6824,0.7436,0.7347
MinMaxScaler,100,4,0.05,0.6491,0.8169,0.6824,0.7436,0.7347
RobustScaler,100,8,0.05,0.7281,0.8293,0.8,0.8144,0.7274
NoScaler,100,8,0.05,0.7281,0.8293,0.8,0.8144,0.7274
MinMaxScaler,100,8,0.05,0.7281,0.8293,0.8,0.8144,0.7274
StandardScaler,100,8,0.05,0.7281,0.8293,0.8,0.8144,0.7274
NoScaler,100,6,0.05,0.6667,0.8052,0.7294,0.7654,0.7164
RobustScaler,100,6,0.05,0.6667,0.8052,0.7294,0.7654,0.7164
MinMaxScaler,100,6,0.05,0.6667,0.8052,0.7294,0.7654,0.7164
StandardScaler,100,6,0.05,0.6667,0.8052,0.7294,0.7654,0.7164
Normalizer,200,8,0.1,0.7018,0.8228,0.7647,0.7927,0.7144
NoScaler,200,4,0.05,0.6842,0.8182,0.7412,0.7778,0.7132
StandardScaler,200,4,0.05,0.6842,0.8182,0.7412,0.7778,0.7132
RobustScaler,200,4,0.05,0.6842,0.8182,0.7412,0.7778,0.7132
MinMaxScaler,200,4,0.05,0.6842,0.8182,0.7412,0.7778,0.7132
MinMaxScaler,200,8,0.05,0.7368,0.8313,0.8118,0.8214,0.7103
StandardScaler,200,8,0.05,0.7368,0.8313,0.8118,0.8214,0.7103
RobustScaler,200,8,0.05,0.7368,0.8313,0.8118,0.8214,0.7103
NoScaler,200,8,0.05,0.7368,0.8313,0.8118,0.8214,0.7103
StandardScaler,100,4,0.1,0.6842,0.8267,0.7294,0.775,0.7095
MinMaxScaler,100,4,0.1,0.6842,0.8267,0.7294,0.775,0.7095
NoScaler,100,4,0.1,0.6842,0.8267,0.7294,0.775,0.7095
RobustScaler,100,4,0.1,0.6842,0.8267,0.7294,0.775,0.7095
Normalizer,100,6,0.1,0.6579,0.8026,0.7176,0.7578,0.7047
StandardScaler,200,6,0.05,0.6754,0.8,0.7529,0.7758,0.7043
Normalizer,100,8,0.1,0.693,0.8289,0.7412,0.7826,0.7043
NoScaler,200,6,0.05,0.6754,0.8,0.7529,0.7758,0.7043
RobustScaler,200,6,0.05,0.6754,0.8,0.7529,0.7758,0.7043
MinMaxScaler,200,6,0.05,0.6754,0.8,0.7529,0.7758,0.7043
Normalizer,200,6,0.1,0.6842,0.8182,0.7412,0.7778,0.7034
RobustScaler,100,8,0.1,0.7105,0.825,0.7765,0.8,0.6998
StandardScaler,100,8,0.1,0.7105,0.825,0.7765,0.8,0.6998
NoScaler,100,8,0.1,0.7105,0.825,0.7765,0.8,0.6998
MinMaxScaler,100,8,0.1,0.7105,0.825,0.7765,0.8,0.6998
RobustScaler,100,6,0.1,0.7018,0.8072,0.7882,0.7976,0.6941
NoScaler,100,6,0.1,0.7018,0.8072,0.7882,0.7976,0.6941
StandardScaler,100,6,0.1,0.7018,0.8072,0.7882,0.7976,0.6941
MinMaxScaler,100,6,0.1,0.7018,0.8072,0.7882,0.7976,0.6941
Normalizer,200,6,0.05,0.6754,0.8243,0.7176,0.7673,0.6937
Normalizer,200,4,0.1,0.6754,0.8243,0.7176,0.7673,0.6929
MinMaxScaler,200,4,0.1,0.7018,0.8072,0.7882,0.7976,0.6892
NoScaler,200,4,0.1,0.7018,0.8072,0.7882,0.7976,0.6892
RobustScaler,200,4,0.1,0.7018,0.8072,0.7882,0.7976,0.6892
StandardScaler,200,4,0.1,0.7018,0.8072,0.7882,0.7976,0.6892
Normalizer,200,8,0.05,0.6579,0.8026,0.7176,0.7578,0.6888
Normalizer,100,8,0.05,0.6491,0.8169,0.6824,0.7436,0.688
Normalizer,100,6,0.05,0.6316,0.8116,0.6588,0.7273,0.6862
StandardScaler,200,8,0.1,0.7018,0.8148,0.7765,0.7952,0.6815
RobustScaler,200,8,0.1,0.7018,0.8148,0.7765,0.7952,0.6815
Normalizer,100,4,0.05,0.6316,0.8308,0.6353,0.72,0.6815
MinMaxScaler,200,8,0.1,0.7018,0.8148,0.7765,0.7952,0.6815
NoScaler,200,8,0.1,0.7018,0.8148,0.7765,0.7952,0.6815
Normalizer,100,4,0.1,0.6228,0.8182,0.6353,0.7152,0.6763
StandardScaler,200,6,0.1,0.7018,0.8,0.8,0.8,0.6746
NoScaler,200,6,0.1,0.7018,0.8,0.8,0.8,0.6746
RobustScaler,200,6,0.1,0.7018,0.8,0.8,0.8,0.6746
MinMaxScaler,200,6,0.1,0.7018,0.8,0.8,0.8,0.6746
Normalizer,200,4,0.05,0.6316,0.8028,0.6706,0.7308,0.6686
