Fold,Scaler,n_estimators,max_depth,learning_rate,ACC,Precision,Recall,F1,ROC-AUC
2,NoScaler,200,4,0.01,0.6258,0.6515,0.5309,0.585,0.6813
2,NoScaler,200,4,0.1,0.638,0.641,0.6173,0.6289,0.7008
2,NoScaler,200,6,0.01,0.6319,0.6567,0.5432,0.5946,0.685
2,NoScaler,200,6,0.1,0.6687,0.6709,0.6543,0.6625,0.7075
2,NoScaler,200,8,0.01,0.6196,0.6338,0.5556,0.5921,0.6871
2,NoScaler,200,8,0.1,0.6748,0.6795,0.6543,0.6667,0.6972
2,StandardScaler,100,4,0.01,0.6135,0.6406,0.5062,0.5655,0.6628
2,StandardScaler,100,4,0.1,0.6503,0.6579,0.6173,0.6369,0.7041
2,StandardScaler,100,6,0.01,0.6319,0.6721,0.5062,0.5775,0.6892
2,StandardScaler,100,6,0.1,0.6442,0.6494,0.6173,0.6329,0.7005
2,StandardScaler,100,8,0.01,0.6626,0.7241,0.5185,0.6043,0.6751
2,StandardScaler,100,8,0.1,0.6564,0.6623,0.6296,0.6456,0.6878
2,StandardScaler,200,4,0.01,0.6258,0.6515,0.5309,0.585,0.6813
2,StandardScaler,200,4,0.1,0.6503,0.6579,0.6173,0.6369,0.6959
2,StandardScaler,200,6,0.01,0.6319,0.6567,0.5432,0.5946,0.685
2,StandardScaler,200,6,0.1,0.6871,0.6974,0.6543,0.6752,0.7028
2,StandardScaler,200,8,0.01,0.6196,0.6338,0.5556,0.5921,0.6857
2,StandardScaler,200,8,0.1,0.6687,0.6753,0.642,0.6582,0.6999
2,MinMaxScaler,100,4,0.01,0.6135,0.6406,0.5062,0.5655,0.6628
2,MinMaxScaler,100,4,0.1,0.6503,0.6579,0.6173,0.6369,0.7041
2,MinMaxScaler,100,6,0.01,0.6319,0.6721,0.5062,0.5775,0.6892
2,MinMaxScaler,100,6,0.1,0.6258,0.6282,0.6049,0.6164,0.702
2,MinMaxScaler,100,8,0.01,0.6626,0.7241,0.5185,0.6043,0.6751
2,MinMaxScaler,100,8,0.1,0.6503,0.6579,0.6173,0.6369,0.6894
2,MinMaxScaler,200,4,0.01,0.6258,0.6515,0.5309,0.585,0.6813
2,MinMaxScaler,200,4,0.1,0.638,0.641,0.6173,0.6289,0.7008
2,MinMaxScaler,200,6,0.01,0.6319,0.6567,0.5432,0.5946,0.685
2,MinMaxScaler,200,6,0.1,0.6687,0.6709,0.6543,0.6625,0.7075
2,MinMaxScaler,200,8,0.01,0.6196,0.6338,0.5556,0.5921,0.6871
2,MinMaxScaler,200,8,0.1,0.6748,0.6795,0.6543,0.6667,0.6972
2,RobustScaler,100,4,0.01,0.6135,0.6406,0.5062,0.5655,0.6628
2,RobustScaler,100,4,0.1,0.6503,0.6579,0.6173,0.6369,0.7041
2,RobustScaler,100,6,0.01,0.6319,0.6721,0.5062,0.5775,0.6892
2,RobustScaler,100,6,0.1,0.6258,0.6282,0.6049,0.6164,0.702
2,RobustScaler,100,8,0.01,0.6626,0.7241,0.5185,0.6043,0.6751
2,RobustScaler,100,8,0.1,0.6503,0.6579,0.6173,0.6369,0.6894
2,RobustScaler,200,4,0.01,0.6258,0.6515,0.5309,0.585,0.6813
2,RobustScaler,200,4,0.1,0.638,0.641,0.6173,0.6289,0.7008
2,RobustScaler,200,6,0.01,0.6319,0.6567,0.5432,0.5946,0.685
2,RobustScaler,200,6,0.1,0.6687,0.6709,0.6543,0.6625,0.7075
2,RobustScaler,200,8,0.01,0.6196,0.6338,0.5556,0.5921,0.6871
2,RobustScaler,200,8,0.1,0.6748,0.6795,0.6543,0.6667,0.6972
2,Normalizer,100,4,0.01,0.6319,0.7059,0.4444,0.5455,0.6489
2,Normalizer,100,4,0.1,0.6258,0.6923,0.4444,0.5414,0.6953
2,Normalizer,100,6,0.01,0.638,0.7292,0.4321,0.5426,0.6708
2,Normalizer,100,6,0.1,0.6503,0.7308,0.4691,0.5714,0.6958
2,Normalizer,100,8,0.01,0.6258,0.6724,0.4815,0.5612,0.6993
2,Normalizer,100,8,0.1,0.638,0.7115,0.4568,0.5564,0.6982
2,Normalizer,200,4,0.01,0.638,0.7115,0.4568,0.5564,0.647
2,Normalizer,200,4,0.1,0.6442,0.7091,0.4815,0.5735,0.7147
2,Normalizer,200,6,0.01,0.6258,0.7,0.4321,0.5344,0.6728
2,Normalizer,200,6,0.1,0.6258,0.6667,0.4938,0.5674,0.7104
2,Normalizer,200,8,0.01,0.6258,0.6852,0.4568,0.5481,0.6941
2,Normalizer,200,8,0.1,0.6319,0.6667,0.5185,0.5833,0.7054
3,NoScaler,100,4,0.01,0.7099,0.7179,0.6914,0.7044,0.7715
3,NoScaler,100,4,0.1,0.6667,0.6753,0.642,0.6582,0.7654
3,NoScaler,100,6,0.01,0.6914,0.7067,0.6543,0.6795,0.7647
3,NoScaler,100,6,0.1,0.6667,0.68,0.6296,0.6538,0.7605
3,NoScaler,100,8,0.01,0.6852,0.7027,0.642,0.671,0.7594
3,NoScaler,100,8,0.1,0.6852,0.6875,0.679,0.6832,0.7728
3,NoScaler,200,4,0.01,0.716,0.7397,0.6667,0.7013,0.7769
3,NoScaler,200,4,0.1,0.6914,0.6914,0.6914,0.6914,0.7705
3,NoScaler,200,6,0.01,0.679,0.7164,0.5926,0.6486,0.7614
