Scaler,n_estimators,max_depth,ACC,Precision,Recall,F1,ROC-AUC
Normalizer,100,None,0.7632,0.8085,0.8941,0.8492,0.6949
Normalizer,200,10,0.7632,0.7959,0.9176,0.8525,0.6819
Normalizer,100,20,0.7632,0.8085,0.8941,0.8492,0.6949
MinMaxScaler,200,None,0.7544,0.8065,0.8824,0.8427,0.7316
StandardScaler,200,None,0.7544,0.8065,0.8824,0.8427,0.7349
RobustScaler,100,10,0.7544,0.8,0.8941,0.8444,0.7329
MinMaxScaler,200,20,0.7544,0.8065,0.8824,0.8427,0.7345
Normalizer,100,10,0.7544,0.7938,0.9059,0.8462,0.6933
StandardScaler,200,20,0.7544,0.8065,0.8824,0.8427,0.7343
StandardScaler,100,10,0.7456,0.7917,0.8941,0.8398,0.7343
RobustScaler,200,20,0.7456,0.8043,0.8706,0.8362,0.7318
MinMaxScaler,100,None,0.7456,0.8043,0.8706,0.8362,0.7465
MinMaxScaler,100,10,0.7456,0.7917,0.8941,0.8398,0.7347
MinMaxScaler,100,20,0.7456,0.8043,0.8706,0.8362,0.7444
NoScaler,100,10,0.7456,0.7917,0.8941,0.8398,0.7314
StandardScaler,100,None,0.7456,0.8043,0.8706,0.8362,0.7432
NoScaler,200,20,0.7456,0.8043,0.8706,0.8362,0.7331
RobustScaler,100,None,0.7456,0.8043,0.8706,0.8362,0.7458
NoScaler,200,None,0.7456,0.8043,0.8706,0.8362,0.7337
NoScaler,100,20,0.7456,0.7979,0.8824,0.838,0.7446
RobustScaler,200,None,0.7456,0.8043,0.8706,0.8362,0.7312
Normalizer,200,None,0.7368,0.7895,0.8824,0.8333,0.6787
NoScaler,100,None,0.7368,0.7957,0.8706,0.8315,0.7448
RobustScaler,200,10,0.7368,0.7895,0.8824,0.8333,0.7465
RobustScaler,100,20,0.7368,0.7957,0.8706,0.8315,0.744
MinMaxScaler,200,10,0.7368,0.7895,0.8824,0.8333,0.7426
StandardScaler,200,10,0.7368,0.7895,0.8824,0.8333,0.7424
StandardScaler,100,20,0.7368,0.7957,0.8706,0.8315,0.7424
NoScaler,200,10,0.7368,0.7895,0.8824,0.8333,0.7408
Normalizer,200,20,0.7368,0.7895,0.8824,0.8333,0.6783
