Scaler,n_estimators,max_depth,ACC,Precision,Recall,F1,ROC-AUC
RobustScaler,100,10,0.7456,0.7802,0.8875,0.8304,0.7636
Normalizer,100,None,0.7368,0.7717,0.8875,0.8256,0.7798
NoScaler,100,10,0.7368,0.7717,0.8875,0.8256,0.7621
Normalizer,100,20,0.7368,0.7717,0.8875,0.8256,0.7798
MinMaxScaler,100,10,0.7368,0.7717,0.8875,0.8256,0.7577
RobustScaler,200,10,0.7368,0.7778,0.875,0.8235,0.7588
RobustScaler,200,20,0.7281,0.7753,0.8625,0.8166,0.7522
RobustScaler,100,20,0.7281,0.7692,0.875,0.8187,0.7467
RobustScaler,200,None,0.7281,0.7753,0.8625,0.8166,0.7522
NoScaler,100,None,0.7281,0.7692,0.875,0.8187,0.7504
StandardScaler,100,10,0.7281,0.7634,0.8875,0.8208,0.7618
NoScaler,200,20,0.7281,0.7816,0.85,0.8144,0.7551
NoScaler,100,20,0.7281,0.7692,0.875,0.8187,0.7504
RobustScaler,100,None,0.7281,0.7692,0.875,0.8187,0.7452
MinMaxScaler,200,20,0.7193,0.7727,0.85,0.8095,0.7507
Normalizer,100,10,0.7193,0.7609,0.875,0.814,0.7732
Normalizer,200,10,0.7193,0.7609,0.875,0.814,0.7658
MinMaxScaler,200,None,0.7193,0.7727,0.85,0.8095,0.7506
MinMaxScaler,200,10,0.7193,0.7609,0.875,0.814,0.7551
MinMaxScaler,100,20,0.7193,0.7667,0.8625,0.8118,0.7487
MinMaxScaler,100,None,0.7193,0.7667,0.8625,0.8118,0.748
StandardScaler,200,20,0.7193,0.7727,0.85,0.8095,0.7478
StandardScaler,200,None,0.7193,0.7727,0.85,0.8095,0.7489
StandardScaler,100,20,0.7193,0.7667,0.8625,0.8118,0.7476
StandardScaler,100,None,0.7193,0.7667,0.8625,0.8118,0.7472
NoScaler,200,10,0.7193,0.7609,0.875,0.814,0.7596
NoScaler,200,None,0.7193,0.7727,0.85,0.8095,0.7518
StandardScaler,200,10,0.7105,0.7527,0.875,0.8092,0.7563
Normalizer,200,None,0.7105,0.7582,0.8625,0.807,0.7607
Normalizer,200,20,0.7105,0.7582,0.8625,0.807,0.7608
