Scaler,n_estimators,max_depth,learning_rate,ACC,Precision,Recall,F1,ROC-AUC
MinMaxScaler,200,8,0.1,0.8818,0.882,0.8818,0.8817,0.9679
StandardScaler,200,8,0.1,0.8818,0.882,0.8818,0.8817,0.9679
NoScaler,200,8,0.1,0.8818,0.882,0.8818,0.8817,0.9679
RobustScaler,200,8,0.1,0.8818,0.882,0.8818,0.8817,0.9679
StandardScaler,200,6,0.1,0.8732,0.8738,0.8732,0.8731,0.9637
MinMaxScaler,200,6,0.1,0.8732,0.8738,0.8732,0.8731,0.9637
NoScaler,200,6,0.1,0.8732,0.8738,0.8732,0.8731,0.9637
RobustScaler,200,6,0.1,0.8732,0.8738,0.8732,0.8731,0.9637
MinMaxScaler,100,8,0.1,0.8675,0.868,0.8675,0.8673,0.9633
RobustScaler,100,8,0.1,0.8675,0.868,0.8675,0.8673,0.9633
NoScaler,100,8,0.1,0.8675,0.868,0.8675,0.8673,0.9633
StandardScaler,100,8,0.1,0.8675,0.868,0.8675,0.8673,0.9633
RobustScaler,200,8,0.05,0.8721,0.8724,0.8721,0.8719,0.9627
MinMaxScaler,200,8,0.05,0.8721,0.8724,0.8721,0.8719,0.9627
StandardScaler,200,8,0.05,0.8721,0.8724,0.8721,0.8719,0.9627
NoScaler,200,8,0.05,0.8721,0.8724,0.8721,0.8719,0.9627
StandardScaler,100,8,0.05,0.8528,0.8533,0.8528,0.8525,0.9535
RobustScaler,100,8,0.05,0.8528,0.8533,0.8528,0.8525,0.9535
NoScaler,100,8,0.05,0.8528,0.8533,0.8528,0.8525,0.9535
MinMaxScaler,100,8,0.05,0.8528,0.8533,0.8528,0.8525,0.9535
NoScaler,200,6,0.05,0.8465,0.8485,0.8465,0.8464,0.953
StandardScaler,200,6,0.05,0.8465,0.8485,0.8465,0.8464,0.953
RobustScaler,200,6,0.05,0.8465,0.8485,0.8465,0.8464,0.953
MinMaxScaler,200,6,0.05,0.8465,0.8485,0.8465,0.8464,0.953
StandardScaler,100,6,0.1,0.8442,0.8456,0.8442,0.844,0.9526
RobustScaler,100,6,0.1,0.8442,0.8456,0.8442,0.844,0.9526
NoScaler,100,6,0.1,0.8442,0.8456,0.8442,0.844,0.9526
MinMaxScaler,100,6,0.1,0.8442,0.8456,0.8442,0.844,0.9526
MinMaxScaler,200,4,0.1,0.8209,0.8249,0.8209,0.8209,0.9417
RobustScaler,200,4,0.1,0.8209,0.8249,0.8209,0.8209,0.9417
StandardScaler,200,4,0.1,0.8209,0.8249,0.8209,0.8209,0.9417
NoScaler,200,4,0.1,0.8209,0.8249,0.8209,0.8209,0.9417
MinMaxScaler,100,6,0.05,0.8113,0.8146,0.8113,0.8108,0.9352
StandardScaler,100,6,0.05,0.8113,0.8146,0.8113,0.8108,0.9352
RobustScaler,100,6,0.05,0.8113,0.8146,0.8113,0.8108,0.9352
NoScaler,100,6,0.05,0.8113,0.8146,0.8113,0.8108,0.9352
NoScaler,100,4,0.1,0.7681,0.7714,0.7681,0.7673,0.9125
MinMaxScaler,100,4,0.1,0.7681,0.7714,0.7681,0.7673,0.9125
StandardScaler,100,4,0.1,0.7681,0.7714,0.7681,0.7673,0.9125
RobustScaler,100,4,0.1,0.7681,0.7714,0.7681,0.7673,0.9125
StandardScaler,200,4,0.05,0.759,0.7621,0.759,0.758,0.9106
NoScaler,200,4,0.05,0.759,0.7621,0.759,0.758,0.9106
RobustScaler,200,4,0.05,0.759,0.7621,0.759,0.758,0.9106
MinMaxScaler,200,4,0.05,0.759,0.7621,0.759,0.758,0.9106
Normalizer,200,8,0.1,0.7464,0.7457,0.7464,0.7458,0.8959
Normalizer,200,6,0.1,0.7499,0.7497,0.7499,0.7493,0.8915
Normalizer,200,8,0.05,0.7402,0.7403,0.7402,0.7399,0.8903
Normalizer,100,8,0.1,0.7356,0.7357,0.7356,0.7351,0.8899
Normalizer,100,8,0.05,0.7271,0.7293,0.7271,0.7272,0.8805
Normalizer,200,6,0.05,0.7288,0.7294,0.7288,0.7285,0.8795
Normalizer,100,6,0.1,0.718,0.719,0.718,0.7175,0.8791
RobustScaler,100,4,0.05,0.7101,0.7143,0.7101,0.7079,0.8757
MinMaxScaler,100,4,0.05,0.7101,0.7143,0.7101,0.7079,0.8757
StandardScaler,100,4,0.05,0.7101,0.7143,0.7101,0.7079,0.8757
NoScaler,100,4,0.05,0.7101,0.7143,0.7101,0.7079,0.8757
Normalizer,200,4,0.1,0.714,0.7146,0.714,0.7135,0.8696
Normalizer,100,6,0.05,0.7004,0.703,0.7004,0.6995,0.862
Normalizer,100,4,0.1,0.6737,0.6773,0.6737,0.6724,0.85
Normalizer,200,4,0.05,0.6697,0.6731,0.6697,0.6684,0.8474
Normalizer,100,4,0.05,0.6407,0.6507,0.6407,0.6366,0.825
