Fold,Scaler,n_estimators,max_depth,ACC,Precision,Recall,F1,ROC-AUC
3,MinMaxScaler,100,10,0.6166,0.6192,0.6166,0.6162,0.7845
3,MinMaxScaler,100,20,0.6253,0.6267,0.6253,0.6259,0.7986
3,MinMaxScaler,200,None,0.6122,0.6138,0.6122,0.6127,0.7948
3,MinMaxScaler,200,10,0.616,0.6185,0.616,0.6158,0.786
3,MinMaxScaler,200,20,0.6188,0.6198,0.6188,0.6192,0.7995
3,RobustScaler,100,None,0.605,0.6067,0.605,0.6057,0.7924
3,RobustScaler,100,10,0.6237,0.6272,0.6237,0.624,0.7865
3,RobustScaler,100,20,0.6242,0.6256,0.6242,0.6248,0.7974
3,RobustScaler,200,None,0.6061,0.6071,0.6061,0.6065,0.7935
3,RobustScaler,200,10,0.6237,0.6268,0.6237,0.624,0.7872
3,RobustScaler,200,20,0.6182,0.6195,0.6182,0.6187,0.7982
3,Normalizer,100,None,0.5387,0.5393,0.5387,0.5389,0.7312
3,Normalizer,100,10,0.5853,0.5865,0.5853,0.5849,0.755
3,Normalizer,100,20,0.5447,0.5452,0.5447,0.5449,0.7403
3,Normalizer,200,None,0.5376,0.538,0.5376,0.5378,0.7336
3,Normalizer,200,10,0.5848,0.5856,0.5848,0.5842,0.7546
3,Normalizer,200,20,0.5431,0.5436,0.5431,0.5433,0.7417
4,NoScaler,100,None,0.6083,0.6077,0.6083,0.6079,0.7881
4,NoScaler,100,10,0.6078,0.6073,0.6078,0.6059,0.7667
4,NoScaler,100,20,0.6138,0.6131,0.6138,0.6133,0.7923
4,NoScaler,200,None,0.6094,0.6089,0.6094,0.6091,0.7881
4,NoScaler,200,10,0.6138,0.6133,0.6138,0.6124,0.7709
4,NoScaler,200,20,0.6149,0.6144,0.6149,0.6145,0.7924
4,StandardScaler,100,None,0.6111,0.6103,0.6111,0.6106,0.7871
4,StandardScaler,100,10,0.6072,0.6069,0.6072,0.6055,0.7671
4,StandardScaler,100,20,0.6204,0.6198,0.6204,0.6199,0.7932
4,StandardScaler,200,None,0.6111,0.6103,0.6111,0.6106,0.7879
4,StandardScaler,200,10,0.6105,0.6101,0.6105,0.609,0.7711
4,StandardScaler,200,20,0.6204,0.62,0.6204,0.62,0.7931
4,MinMaxScaler,100,None,0.6078,0.6073,0.6078,0.6075,0.7881
4,MinMaxScaler,100,10,0.6078,0.6067,0.6078,0.606,0.7672
4,MinMaxScaler,100,20,0.6182,0.6175,0.6182,0.6176,0.7916
4,MinMaxScaler,200,None,0.6089,0.6082,0.6089,0.6084,0.7886
4,MinMaxScaler,200,10,0.6133,0.6125,0.6133,0.6118,0.7705
4,MinMaxScaler,200,20,0.6193,0.6186,0.6193,0.6188,0.7926
4,RobustScaler,100,None,0.616,0.6154,0.616,0.6157,0.7893
4,RobustScaler,100,10,0.6072,0.6065,0.6072,0.6055,0.7673
4,RobustScaler,100,20,0.6199,0.6192,0.6199,0.6194,0.7943
4,RobustScaler,200,None,0.61,0.6094,0.61,0.6096,0.7896
4,RobustScaler,200,10,0.6127,0.6124,0.6127,0.6113,0.7711
4,RobustScaler,200,20,0.6193,0.6185,0.6193,0.6188,0.794
4,Normalizer,100,None,0.5398,0.5399,0.5398,0.5398,0.722
4,Normalizer,100,10,0.5584,0.558,0.5584,0.558,0.7339
4,Normalizer,100,20,0.542,0.5421,0.542,0.542,0.7295
4,Normalizer,200,None,0.5398,0.5399,0.5398,0.5398,0.7232
4,Normalizer,200,10,0.5617,0.5614,0.5617,0.5614,0.7341
4,Normalizer,200,20,0.5447,0.5448,0.5447,0.5447,0.7299
5,NoScaler,100,None,0.6202,0.6191,0.6202,0.6195,0.7854
5,NoScaler,100,10,0.6048,0.605,0.6048,0.6037,0.7665
5,NoScaler,100,20,0.6257,0.6242,0.6257,0.6247,0.7881
