Scaler,n_estimators,max_depth,ACC,Precision,Recall,F1,ROC-AUC
NoScaler,100,None,0.8516,0.8517,0.8516,0.8514,0.9463
MinMaxScaler,100,None,0.8511,0.8511,0.8511,0.8509,0.9463
RobustScaler,100,None,0.8488,0.849,0.8488,0.8487,0.9462
StandardScaler,100,None,0.8488,0.8488,0.8488,0.8486,0.9462
NoScaler,200,20,0.8471,0.8476,0.8471,0.8471,0.9478
RobustScaler,200,None,0.8465,0.8465,0.8465,0.8463,0.9468
MinMaxScaler,200,20,0.8465,0.8468,0.8465,0.8465,0.9477
RobustScaler,200,20,0.8459,0.8463,0.8459,0.8459,0.9478
StandardScaler,200,None,0.8459,0.8459,0.8459,0.8458,0.9468
StandardScaler,200,20,0.8454,0.8458,0.8454,0.8454,0.9478
MinMaxScaler,200,None,0.8454,0.8454,0.8454,0.8452,0.9469
NoScaler,200,None,0.8448,0.845,0.8448,0.8447,0.947
NoScaler,100,20,0.8425,0.8425,0.8425,0.8424,0.9477
RobustScaler,100,20,0.842,0.8419,0.842,0.8418,0.9477
MinMaxScaler,100,20,0.842,0.8419,0.842,0.8418,0.9477
StandardScaler,100,20,0.8403,0.8402,0.8403,0.8401,0.9477
StandardScaler,100,10,0.8044,0.8061,0.8044,0.8046,0.926
NoScaler,100,10,0.8033,0.8049,0.8033,0.8034,0.926
RobustScaler,100,10,0.8033,0.8049,0.8033,0.8035,0.926
MinMaxScaler,100,10,0.8027,0.8042,0.8027,0.8029,0.9259
MinMaxScaler,200,10,0.8016,0.8029,0.8016,0.8018,0.9265
RobustScaler,200,10,0.801,0.8023,0.801,0.8013,0.9266
StandardScaler,200,10,0.801,0.8023,0.801,0.8013,0.9266
NoScaler,200,10,0.801,0.8024,0.801,0.8013,0.9266
Normalizer,100,None,0.7339,0.7325,0.7339,0.7327,0.8871
Normalizer,200,20,0.7317,0.7298,0.7317,0.7303,0.8869
Normalizer,200,None,0.7311,0.7295,0.7311,0.73,0.8872
Normalizer,100,20,0.7243,0.7223,0.7243,0.7228,0.8852
Normalizer,100,10,0.7032,0.7059,0.7032,0.7033,0.8657
Normalizer,200,10,0.7032,0.706,0.7032,0.7034,0.8659
