Scaler,n_estimators,max_depth,learning_rate,ACC,Precision,Recall,F1,ROC-AUC
MinMaxScaler,200,8,0.1,0.8863,0.8862,0.8863,0.8862,0.9679
StandardScaler,200,8,0.1,0.8863,0.8862,0.8863,0.8862,0.9679
NoScaler,200,8,0.1,0.8863,0.8862,0.8863,0.8862,0.9679
RobustScaler,200,8,0.1,0.8863,0.8862,0.8863,0.8862,0.9679
StandardScaler,200,6,0.1,0.8778,0.8777,0.8778,0.8776,0.965
MinMaxScaler,200,6,0.1,0.8778,0.8777,0.8778,0.8776,0.965
NoScaler,200,6,0.1,0.8778,0.8777,0.8778,0.8776,0.965
RobustScaler,200,6,0.1,0.8778,0.8777,0.8778,0.8776,0.965
MinMaxScaler,100,8,0.1,0.8778,0.8779,0.8778,0.8777,0.964
RobustScaler,100,8,0.1,0.8778,0.8779,0.8778,0.8777,0.964
NoScaler,100,8,0.1,0.8778,0.8779,0.8778,0.8777,0.964
StandardScaler,100,8,0.1,0.8778,0.8779,0.8778,0.8777,0.964
RobustScaler,200,8,0.05,0.8732,0.873,0.8732,0.8731,0.9621
MinMaxScaler,200,8,0.05,0.8732,0.873,0.8732,0.8731,0.9621
StandardScaler,200,8,0.05,0.8732,0.873,0.8732,0.8731,0.9621
NoScaler,200,8,0.05,0.8732,0.873,0.8732,0.8731,0.9621
NoScaler,200,6,0.05,0.8476,0.8478,0.8476,0.8475,0.9538
StandardScaler,200,6,0.05,0.8476,0.8478,0.8476,0.8475,0.9538
RobustScaler,200,6,0.05,0.8476,0.8478,0.8476,0.8475,0.9538
MinMaxScaler,200,6,0.05,0.8476,0.8478,0.8476,0.8475,0.9538
StandardScaler,100,6,0.1,0.8505,0.8507,0.8505,0.8503,0.9537
RobustScaler,100,6,0.1,0.8505,0.8507,0.8505,0.8503,0.9537
NoScaler,100,6,0.1,0.8505,0.8507,0.8505,0.8503,0.9537
MinMaxScaler,100,6,0.1,0.8505,0.8507,0.8505,0.8503,0.9537
StandardScaler,100,8,0.05,0.8567,0.8569,0.8567,0.8567,0.9534
RobustScaler,100,8,0.05,0.8567,0.8569,0.8567,0.8567,0.9534
NoScaler,100,8,0.05,0.8567,0.8569,0.8567,0.8567,0.9534
MinMaxScaler,100,8,0.05,0.8567,0.8569,0.8567,0.8567,0.9534
MinMaxScaler,200,4,0.1,0.83,0.8314,0.83,0.8301,0.9443
RobustScaler,200,4,0.1,0.83,0.8314,0.83,0.8301,0.9443
StandardScaler,200,4,0.1,0.83,0.8314,0.83,0.8301,0.9443
NoScaler,200,4,0.1,0.83,0.8314,0.83,0.8301,0.9443
MinMaxScaler,100,6,0.05,0.8124,0.8135,0.8124,0.8122,0.934
StandardScaler,100,6,0.05,0.8124,0.8135,0.8124,0.8122,0.934
RobustScaler,100,6,0.05,0.8124,0.8135,0.8124,0.8122,0.934
NoScaler,100,6,0.05,0.8124,0.8135,0.8124,0.8122,0.934
StandardScaler,200,4,0.05,0.7732,0.7745,0.7732,0.773,0.9163
NoScaler,200,4,0.05,0.7732,0.7745,0.7732,0.773,0.9163
RobustScaler,200,4,0.05,0.7732,0.7745,0.7732,0.773,0.9163
MinMaxScaler,200,4,0.05,0.7732,0.7745,0.7732,0.773,0.9163
NoScaler,100,4,0.1,0.7754,0.7773,0.7754,0.7755,0.9161
MinMaxScaler,100,4,0.1,0.7754,0.7773,0.7754,0.7755,0.9161
StandardScaler,100,4,0.1,0.7754,0.7773,0.7754,0.7755,0.9161
RobustScaler,100,4,0.1,0.7754,0.7773,0.7754,0.7755,0.9161
Normalizer,200,8,0.1,0.7504,0.7501,0.7504,0.7503,0.8971
Normalizer,200,6,0.1,0.755,0.754,0.755,0.7544,0.8945
Normalizer,200,8,0.05,0.7499,0.7493,0.7499,0.7495,0.8936
Normalizer,100,8,0.1,0.7482,0.7477,0.7482,0.7479,0.8918
Normalizer,100,6,0.1,0.7328,0.7324,0.7328,0.7323,0.8844
Normalizer,100,8,0.05,0.7305,0.731,0.7305,0.7305,0.8836
Normalizer,200,6,0.05,0.7311,0.7312,0.7311,0.7309,0.8835
RobustScaler,100,4,0.05,0.7294,0.7306,0.7294,0.7289,0.8833
MinMaxScaler,100,4,0.05,0.7294,0.7306,0.7294,0.7289,0.8833
StandardScaler,100,4,0.05,0.7294,0.7306,0.7294,0.7289,0.8833
NoScaler,100,4,0.05,0.7294,0.7306,0.7294,0.7289,0.8833
Normalizer,200,4,0.1,0.7197,0.7186,0.7197,0.719,0.8702
Normalizer,100,6,0.05,0.7112,0.7113,0.7112,0.7109,0.868
Normalizer,100,4,0.1,0.6833,0.6836,0.6833,0.6828,0.8507
Normalizer,200,4,0.05,0.6828,0.6826,0.6828,0.6818,0.8503
Normalizer,100,4,0.05,0.643,0.6441,0.643,0.6399,0.8252
