Scaler,n_estimators,max_depth,learning_rate,ACC,Precision,Recall,F1,ROC-AUC
NoScaler,100,4,0.05,0.7544,0.7938,0.9059,0.8462,0.7375
StandardScaler,100,4,0.05,0.7544,0.7938,0.9059,0.8462,0.7375
MinMaxScaler,100,4,0.05,0.7544,0.7938,0.9059,0.8462,0.7375
RobustScaler,100,4,0.05,0.7544,0.7938,0.9059,0.8462,0.7375
MinMaxScaler,100,6,0.05,0.7105,0.7708,0.8706,0.8177,0.7274
RobustScaler,100,6,0.05,0.7105,0.7708,0.8706,0.8177,0.7274
StandardScaler,100,6,0.05,0.7105,0.7708,0.8706,0.8177,0.7274
NoScaler,100,6,0.05,0.7105,0.7708,0.8706,0.8177,0.7274
MinMaxScaler,100,8,0.05,0.7281,0.7935,0.8588,0.8249,0.727
RobustScaler,100,8,0.05,0.7281,0.7935,0.8588,0.8249,0.727
NoScaler,100,8,0.05,0.7281,0.7935,0.8588,0.8249,0.727
StandardScaler,100,8,0.05,0.7281,0.7935,0.8588,0.8249,0.727
NoScaler,200,6,0.05,0.7281,0.7935,0.8588,0.8249,0.7193
RobustScaler,200,6,0.05,0.7281,0.7935,0.8588,0.8249,0.7193
MinMaxScaler,200,6,0.05,0.7281,0.7935,0.8588,0.8249,0.7193
StandardScaler,200,6,0.05,0.7281,0.7935,0.8588,0.8249,0.7193
MinMaxScaler,100,4,0.1,0.7281,0.8,0.8471,0.8229,0.7181
RobustScaler,100,4,0.1,0.7281,0.8,0.8471,0.8229,0.7181
NoScaler,100,4,0.1,0.7281,0.8,0.8471,0.8229,0.7181
StandardScaler,100,4,0.1,0.7281,0.8,0.8471,0.8229,0.7181
StandardScaler,100,6,0.1,0.7281,0.7935,0.8588,0.8249,0.7112
NoScaler,100,6,0.1,0.7281,0.7935,0.8588,0.8249,0.7112
RobustScaler,100,6,0.1,0.7281,0.7935,0.8588,0.8249,0.7112
MinMaxScaler,100,6,0.1,0.7281,0.7935,0.8588,0.8249,0.7112
RobustScaler,200,8,0.05,0.7105,0.7766,0.8588,0.8156,0.7099
MinMaxScaler,200,8,0.05,0.7105,0.7766,0.8588,0.8156,0.7099
StandardScaler,200,8,0.05,0.7105,0.7766,0.8588,0.8156,0.7099
NoScaler,200,8,0.05,0.7105,0.7766,0.8588,0.8156,0.7099
RobustScaler,200,4,0.05,0.6754,0.7609,0.8235,0.791,0.7075
MinMaxScaler,200,4,0.05,0.6754,0.7609,0.8235,0.791,0.7075
StandardScaler,200,4,0.05,0.6754,0.7609,0.8235,0.791,0.7075
NoScaler,200,4,0.05,0.6754,0.7609,0.8235,0.791,0.7075
MinMaxScaler,100,8,0.1,0.7193,0.7849,0.8588,0.8202,0.7002
NoScaler,100,8,0.1,0.7193,0.7849,0.8588,0.8202,0.7002
RobustScaler,100,8,0.1,0.7193,0.7849,0.8588,0.8202,0.7002
StandardScaler,100,8,0.1,0.7193,0.7849,0.8588,0.8202,0.7002
NoScaler,200,6,0.1,0.7193,0.7849,0.8588,0.8202,0.6986
RobustScaler,200,6,0.1,0.7193,0.7849,0.8588,0.8202,0.6986
StandardScaler,200,6,0.1,0.7193,0.7849,0.8588,0.8202,0.6986
MinMaxScaler,200,6,0.1,0.7193,0.7849,0.8588,0.8202,0.6986
MinMaxScaler,200,8,0.1,0.7281,0.7935,0.8588,0.8249,0.6791
StandardScaler,200,8,0.1,0.7281,0.7935,0.8588,0.8249,0.6791
RobustScaler,200,8,0.1,0.7281,0.7935,0.8588,0.8249,0.6791
NoScaler,200,8,0.1,0.7281,0.7935,0.8588,0.8249,0.6791
Normalizer,100,8,0.1,0.6842,0.7634,0.8353,0.7978,0.669
StandardScaler,200,4,0.1,0.6842,0.7692,0.8235,0.7955,0.6682
NoScaler,200,4,0.1,0.6842,0.7692,0.8235,0.7955,0.6682
RobustScaler,200,4,0.1,0.6842,0.7692,0.8235,0.7955,0.6682
MinMaxScaler,200,4,0.1,0.6842,0.7692,0.8235,0.7955,0.6682
Normalizer,100,6,0.1,0.693,0.7717,0.8353,0.8023,0.6645
Normalizer,100,4,0.05,0.693,0.7717,0.8353,0.8023,0.6617
Normalizer,200,8,0.1,0.6667,0.7582,0.8118,0.7841,0.6604
Normalizer,200,6,0.1,0.6579,0.7556,0.8,0.7771,0.66
Normalizer,200,6,0.05,0.6404,0.7558,0.7647,0.7602,0.658
Normalizer,200,8,0.05,0.6667,0.7701,0.7882,0.7791,0.6564
Normalizer,100,8,0.05,0.6579,0.7614,0.7882,0.7746,0.6544
Normalizer,100,6,0.05,0.6754,0.7727,0.8,0.7861,0.6544
Normalizer,100,4,0.1,0.6579,0.7556,0.8,0.7771,0.641
Normalizer,200,4,0.1,0.6667,0.7701,0.7882,0.7791,0.6361
Normalizer,200,4,0.05,0.6404,0.75,0.7765,0.763,0.6215
