Scaler,n_estimators,max_depth,learning_rate,ACC,Precision,Recall,F1,ROC-AUC
Normalizer,100,6,0.05,0.7018,0.7614,0.8375,0.7976,0.7438
Normalizer,100,8,0.05,0.7018,0.7614,0.8375,0.7976,0.7426
Normalizer,200,8,0.05,0.7018,0.7556,0.85,0.8,0.7423
Normalizer,100,6,0.1,0.7105,0.7765,0.825,0.8,0.7423
Normalizer,100,8,0.1,0.693,0.7586,0.825,0.7904,0.7408
Normalizer,200,6,0.05,0.7105,0.7701,0.8375,0.8024,0.7371
Normalizer,200,6,0.1,0.693,0.7711,0.8,0.7853,0.7349
RobustScaler,100,4,0.1,0.6842,0.7558,0.8125,0.7831,0.7324
StandardScaler,100,4,0.1,0.6842,0.7558,0.8125,0.7831,0.7324
NoScaler,100,4,0.1,0.6842,0.7558,0.8125,0.7831,0.7324
MinMaxScaler,100,4,0.1,0.6842,0.7558,0.8125,0.7831,0.7324
Normalizer,100,4,0.05,0.7193,0.7791,0.8375,0.8072,0.7316
Normalizer,200,8,0.1,0.7018,0.7674,0.825,0.7952,0.7313
Normalizer,200,4,0.05,0.7105,0.7701,0.8375,0.8024,0.7283
StandardScaler,200,4,0.05,0.693,0.7586,0.825,0.7904,0.7254
RobustScaler,200,4,0.05,0.693,0.7586,0.825,0.7904,0.7254
MinMaxScaler,200,4,0.05,0.693,0.7586,0.825,0.7904,0.7254
NoScaler,200,4,0.05,0.693,0.7586,0.825,0.7904,0.7254
RobustScaler,100,6,0.05,0.693,0.7528,0.8375,0.7929,0.7213
MinMaxScaler,100,6,0.05,0.693,0.7528,0.8375,0.7929,0.7213
NoScaler,100,6,0.05,0.693,0.7528,0.8375,0.7929,0.7213
StandardScaler,100,6,0.05,0.693,0.7528,0.8375,0.7929,0.7213
Normalizer,100,4,0.1,0.7018,0.7614,0.8375,0.7976,0.7199
StandardScaler,100,4,0.05,0.6754,0.7363,0.8375,0.7836,0.7199
RobustScaler,100,4,0.05,0.6754,0.7363,0.8375,0.7836,0.7199
NoScaler,100,4,0.05,0.6754,0.7363,0.8375,0.7836,0.7199
MinMaxScaler,100,4,0.05,0.6754,0.7363,0.8375,0.7836,0.7199
MinMaxScaler,200,6,0.05,0.6754,0.7471,0.8125,0.7784,0.7147
StandardScaler,200,6,0.05,0.6754,0.7471,0.8125,0.7784,0.7147
NoScaler,200,6,0.05,0.6754,0.7471,0.8125,0.7784,0.7147
RobustScaler,200,6,0.05,0.6754,0.7471,0.8125,0.7784,0.7147
StandardScaler,100,8,0.1,0.6667,0.7386,0.8125,0.7738,0.7143
MinMaxScaler,100,8,0.1,0.6667,0.7386,0.8125,0.7738,0.7143
NoScaler,100,8,0.1,0.6667,0.7386,0.8125,0.7738,0.7143
RobustScaler,100,8,0.1,0.6667,0.7386,0.8125,0.7738,0.7143
NoScaler,200,8,0.1,0.6754,0.7471,0.8125,0.7784,0.7136
MinMaxScaler,200,8,0.1,0.6754,0.7471,0.8125,0.7784,0.7136
StandardScaler,200,8,0.1,0.6754,0.7471,0.8125,0.7784,0.7136
RobustScaler,200,8,0.1,0.6754,0.7471,0.8125,0.7784,0.7136
Normalizer,200,4,0.1,0.7193,0.7791,0.8375,0.8072,0.7059
StandardScaler,200,4,0.1,0.6842,0.7683,0.7875,0.7778,0.704
NoScaler,200,4,0.1,0.6842,0.7683,0.7875,0.7778,0.704
RobustScaler,200,4,0.1,0.6842,0.7683,0.7875,0.7778,0.704
MinMaxScaler,200,4,0.1,0.6842,0.7683,0.7875,0.7778,0.704
MinMaxScaler,100,6,0.1,0.693,0.7586,0.825,0.7904,0.7029
RobustScaler,100,6,0.1,0.693,0.7586,0.825,0.7904,0.7029
NoScaler,100,6,0.1,0.693,0.7586,0.825,0.7904,0.7029
StandardScaler,100,6,0.1,0.693,0.7586,0.825,0.7904,0.7029
StandardScaler,200,6,0.1,0.6754,0.7471,0.8125,0.7784,0.6956
NoScaler,200,6,0.1,0.6754,0.7471,0.8125,0.7784,0.6956
MinMaxScaler,200,6,0.1,0.6754,0.7471,0.8125,0.7784,0.6956
RobustScaler,200,6,0.1,0.6754,0.7471,0.8125,0.7784,0.6956
RobustScaler,100,8,0.05,0.6754,0.7416,0.825,0.7811,0.6926
NoScaler,100,8,0.05,0.6754,0.7416,0.825,0.7811,0.6926
MinMaxScaler,100,8,0.05,0.6754,0.7416,0.825,0.7811,0.6926
StandardScaler,100,8,0.05,0.6754,0.7416,0.825,0.7811,0.6926
NoScaler,200,8,0.05,0.693,0.7368,0.875,0.8,0.6893
StandardScaler,200,8,0.05,0.693,0.7368,0.875,0.8,0.6893
MinMaxScaler,200,8,0.05,0.693,0.7368,0.875,0.8,0.6893
RobustScaler,200,8,0.05,0.693,0.7368,0.875,0.8,0.6893
