Scaler,n_estimators,max_depth,ACC,Precision,Recall,F1,ROC-AUC
RobustScaler,100,20,0.8294,0.8303,0.8294,0.8297,0.9425
NoScaler,100,20,0.8283,0.8293,0.8283,0.8286,0.9424
RobustScaler,200,20,0.8277,0.8289,0.8277,0.8281,0.9426
StandardScaler,100,20,0.8277,0.8285,0.8277,0.8279,0.9423
StandardScaler,200,None,0.8277,0.8282,0.8277,0.8279,0.9401
NoScaler,100,None,0.8272,0.8282,0.8272,0.8276,0.9401
StandardScaler,200,20,0.8272,0.8283,0.8272,0.8275,0.9425
RobustScaler,200,None,0.8272,0.8275,0.8272,0.8273,0.9402
MinMaxScaler,100,20,0.8272,0.828,0.8272,0.8273,0.9424
MinMaxScaler,100,None,0.8272,0.8282,0.8272,0.8276,0.94
MinMaxScaler,200,None,0.8272,0.8276,0.8272,0.8273,0.9401
NoScaler,200,20,0.8272,0.8283,0.8272,0.8275,0.9425
MinMaxScaler,200,20,0.8266,0.8278,0.8266,0.8269,0.9424
RobustScaler,100,None,0.8266,0.8277,0.8266,0.827,0.94
StandardScaler,100,None,0.826,0.8271,0.826,0.8264,0.94
NoScaler,200,None,0.826,0.8265,0.826,0.8262,0.9402
NoScaler,100,10,0.801,0.8034,0.801,0.8018,0.9243
RobustScaler,100,10,0.801,0.8034,0.801,0.8018,0.9242
StandardScaler,100,10,0.8005,0.8029,0.8005,0.8012,0.9241
MinMaxScaler,100,10,0.7999,0.8023,0.7999,0.8006,0.9242
NoScaler,200,10,0.7987,0.8016,0.7987,0.7996,0.9247
StandardScaler,200,10,0.7987,0.8015,0.7987,0.7996,0.9247
MinMaxScaler,200,10,0.7987,0.8016,0.7987,0.7996,0.9247
RobustScaler,200,10,0.7982,0.801,0.7982,0.799,0.9247
Normalizer,200,None,0.7214,0.7212,0.7214,0.7212,0.8715
Normalizer,200,20,0.714,0.7138,0.714,0.7138,0.8739
Normalizer,100,None,0.7129,0.7125,0.7129,0.7126,0.8691
Normalizer,100,20,0.7129,0.7135,0.7129,0.7129,0.8733
Normalizer,200,10,0.7027,0.7035,0.7027,0.703,0.8623
Normalizer,100,10,0.6919,0.6928,0.6919,0.6922,0.8606
