Scaler,n_estimators,max_depth,learning_rate,ACC,Precision,Recall,F1,ROC-AUC
MinMaxScaler,200,8,0.1,0.8778,0.8789,0.8778,0.8782,0.9696
StandardScaler,200,8,0.1,0.8778,0.8789,0.8778,0.8782,0.9696
RobustScaler,200,8,0.1,0.8778,0.8789,0.8778,0.8782,0.9696
NoScaler,200,8,0.1,0.8778,0.8789,0.8778,0.8782,0.9696
NoScaler,200,8,0.05,0.867,0.8689,0.867,0.8675,0.9663
RobustScaler,200,8,0.05,0.867,0.8689,0.867,0.8675,0.9663
MinMaxScaler,200,8,0.05,0.867,0.8689,0.867,0.8675,0.9663
StandardScaler,200,8,0.05,0.867,0.8689,0.867,0.8675,0.9663
StandardScaler,200,6,0.1,0.8658,0.8681,0.8658,0.8664,0.9658
RobustScaler,200,6,0.1,0.8658,0.8681,0.8658,0.8664,0.9658
MinMaxScaler,200,6,0.1,0.8658,0.8681,0.8658,0.8664,0.9658
NoScaler,200,6,0.1,0.8658,0.8681,0.8658,0.8664,0.9658
StandardScaler,100,8,0.1,0.8681,0.8693,0.8681,0.8685,0.9652
RobustScaler,100,8,0.1,0.8681,0.8693,0.8681,0.8685,0.9652
NoScaler,100,8,0.1,0.8681,0.8693,0.8681,0.8685,0.9652
MinMaxScaler,100,8,0.1,0.8681,0.8693,0.8681,0.8685,0.9652
NoScaler,100,8,0.05,0.8482,0.8497,0.8482,0.8487,0.9559
MinMaxScaler,100,8,0.05,0.8482,0.8497,0.8482,0.8487,0.9559
StandardScaler,100,8,0.05,0.8482,0.8497,0.8482,0.8487,0.9559
RobustScaler,100,8,0.05,0.8482,0.8497,0.8482,0.8487,0.9559
StandardScaler,200,6,0.05,0.8465,0.8483,0.8465,0.847,0.9541
RobustScaler,200,6,0.05,0.8465,0.8483,0.8465,0.847,0.9541
MinMaxScaler,200,6,0.05,0.8465,0.8483,0.8465,0.847,0.9541
NoScaler,200,6,0.05,0.8465,0.8483,0.8465,0.847,0.9541
StandardScaler,100,6,0.1,0.842,0.8435,0.842,0.8424,0.954
NoScaler,100,6,0.1,0.842,0.8435,0.842,0.8424,0.954
RobustScaler,100,6,0.1,0.842,0.8435,0.842,0.8424,0.954
MinMaxScaler,100,6,0.1,0.842,0.8435,0.842,0.8424,0.954
MinMaxScaler,200,4,0.1,0.8243,0.8266,0.8243,0.8249,0.9438
RobustScaler,200,4,0.1,0.8243,0.8266,0.8243,0.8249,0.9438
StandardScaler,200,4,0.1,0.8243,0.8266,0.8243,0.8249,0.9438
NoScaler,200,4,0.1,0.8243,0.8266,0.8243,0.8249,0.9438
MinMaxScaler,100,6,0.05,0.809,0.8113,0.809,0.8097,0.9324
StandardScaler,100,6,0.05,0.809,0.8113,0.809,0.8097,0.9324
RobustScaler,100,6,0.05,0.809,0.8113,0.809,0.8097,0.9324
NoScaler,100,6,0.05,0.809,0.8113,0.809,0.8097,0.9324
StandardScaler,200,4,0.05,0.7874,0.7902,0.7874,0.7881,0.9203
NoScaler,200,4,0.05,0.7874,0.7902,0.7874,0.7881,0.9203
RobustScaler,200,4,0.05,0.7874,0.7902,0.7874,0.7881,0.9203
MinMaxScaler,200,4,0.05,0.7874,0.7902,0.7874,0.7881,0.9203
NoScaler,100,4,0.1,0.7817,0.7847,0.7817,0.7825,0.9201
MinMaxScaler,100,4,0.1,0.7817,0.7847,0.7817,0.7825,0.9201
StandardScaler,100,4,0.1,0.7817,0.7847,0.7817,0.7825,0.9201
RobustScaler,100,4,0.1,0.7817,0.7847,0.7817,0.7825,0.9201
NoScaler,100,4,0.05,0.7271,0.7284,0.7271,0.7277,0.8832
RobustScaler,100,4,0.05,0.7271,0.7284,0.7271,0.7277,0.8832
MinMaxScaler,100,4,0.05,0.7271,0.7284,0.7271,0.7277,0.8832
StandardScaler,100,4,0.05,0.7271,0.7284,0.7271,0.7277,0.8832
Normalizer,200,8,0.1,0.7248,0.7267,0.7248,0.7255,0.8805
Normalizer,200,6,0.1,0.7254,0.7279,0.7254,0.7262,0.8794
Normalizer,100,8,0.1,0.718,0.721,0.718,0.7189,0.8768
Normalizer,200,8,0.05,0.7175,0.7206,0.7175,0.7185,0.8758
Normalizer,200,6,0.05,0.7106,0.7129,0.7106,0.7115,0.8699
Normalizer,100,6,0.1,0.7095,0.7109,0.7095,0.7101,0.8687
Normalizer,100,8,0.05,0.7192,0.7215,0.7192,0.7201,0.8679
Normalizer,200,4,0.1,0.701,0.7015,0.701,0.7012,0.8617
Normalizer,100,6,0.05,0.6964,0.6972,0.6964,0.6967,0.8569
Normalizer,100,4,0.1,0.6742,0.6736,0.6742,0.6735,0.8427
Normalizer,200,4,0.05,0.6765,0.6763,0.6765,0.676,0.8409
Normalizer,100,4,0.05,0.6475,0.6465,0.6475,0.6452,0.8184
