Scaler,n_estimators,max_depth,learning_rate,ACC,Precision,Recall,F1,ROC-AUC
MinMaxScaler,200,8,0.1,0.8847,0.8843,0.8847,0.8844,0.9725
StandardScaler,200,8,0.1,0.8847,0.8843,0.8847,0.8844,0.9725
NoScaler,200,8,0.1,0.8847,0.8843,0.8847,0.8844,0.9725
RobustScaler,200,8,0.1,0.8847,0.8843,0.8847,0.8844,0.9725
StandardScaler,200,6,0.1,0.8847,0.8848,0.8847,0.8844,0.97
MinMaxScaler,200,6,0.1,0.8847,0.8848,0.8847,0.8844,0.97
NoScaler,200,6,0.1,0.8847,0.8848,0.8847,0.8844,0.97
RobustScaler,200,6,0.1,0.8847,0.8848,0.8847,0.8844,0.97
MinMaxScaler,100,8,0.1,0.8767,0.8765,0.8767,0.8766,0.968
RobustScaler,100,8,0.1,0.8767,0.8765,0.8767,0.8766,0.968
NoScaler,100,8,0.1,0.8767,0.8765,0.8767,0.8766,0.968
StandardScaler,100,8,0.1,0.8767,0.8765,0.8767,0.8766,0.968
RobustScaler,200,8,0.05,0.879,0.8788,0.879,0.8789,0.9676
MinMaxScaler,200,8,0.05,0.879,0.8788,0.879,0.8789,0.9676
StandardScaler,200,8,0.05,0.879,0.8788,0.879,0.8789,0.9676
NoScaler,200,8,0.05,0.879,0.8788,0.879,0.8789,0.9676
NoScaler,200,6,0.05,0.8659,0.866,0.8659,0.8657,0.961
StandardScaler,200,6,0.05,0.8659,0.866,0.8659,0.8657,0.961
RobustScaler,200,6,0.05,0.8659,0.866,0.8659,0.8657,0.961
MinMaxScaler,200,6,0.05,0.8659,0.866,0.8659,0.8657,0.961
StandardScaler,100,6,0.1,0.8659,0.8662,0.8659,0.8658,0.9605
RobustScaler,100,6,0.1,0.8659,0.8662,0.8659,0.8658,0.9605
NoScaler,100,6,0.1,0.8659,0.8662,0.8659,0.8658,0.9605
MinMaxScaler,100,6,0.1,0.8659,0.8662,0.8659,0.8658,0.9605
StandardScaler,100,8,0.05,0.8614,0.8614,0.8614,0.8612,0.9587
RobustScaler,100,8,0.05,0.8614,0.8614,0.8614,0.8612,0.9587
NoScaler,100,8,0.05,0.8614,0.8614,0.8614,0.8612,0.9587
MinMaxScaler,100,8,0.05,0.8614,0.8614,0.8614,0.8612,0.9587
MinMaxScaler,200,4,0.1,0.8409,0.8412,0.8409,0.8408,0.9508
RobustScaler,200,4,0.1,0.8409,0.8412,0.8409,0.8408,0.9508
StandardScaler,200,4,0.1,0.8409,0.8412,0.8409,0.8408,0.9508
NoScaler,200,4,0.1,0.8409,0.8412,0.8409,0.8408,0.9508
MinMaxScaler,100,6,0.05,0.8284,0.8288,0.8284,0.8283,0.9461
StandardScaler,100,6,0.05,0.8284,0.8288,0.8284,0.8283,0.9461
RobustScaler,100,6,0.05,0.8284,0.8288,0.8284,0.8283,0.9461
NoScaler,100,6,0.05,0.8284,0.8288,0.8284,0.8283,0.9461
StandardScaler,200,4,0.05,0.7847,0.7856,0.7847,0.7847,0.9243
NoScaler,200,4,0.05,0.7847,0.7856,0.7847,0.7847,0.9243
RobustScaler,200,4,0.05,0.7847,0.7856,0.7847,0.7847,0.9243
MinMaxScaler,200,4,0.05,0.7847,0.7856,0.7847,0.7847,0.9243
NoScaler,100,4,0.1,0.7864,0.7872,0.7864,0.7865,0.9236
MinMaxScaler,100,4,0.1,0.7864,0.7872,0.7864,0.7865,0.9236
StandardScaler,100,4,0.1,0.7864,0.7872,0.7864,0.7865,0.9236
RobustScaler,100,4,0.1,0.7864,0.7872,0.7864,0.7865,0.9236
NoScaler,100,4,0.05,0.7392,0.7394,0.7392,0.739,0.8927
RobustScaler,100,4,0.05,0.7392,0.7394,0.7392,0.739,0.8927
MinMaxScaler,100,4,0.05,0.7392,0.7394,0.7392,0.739,0.8927
StandardScaler,100,4,0.05,0.7392,0.7394,0.7392,0.739,0.8927
Normalizer,200,8,0.1,0.7619,0.7605,0.7619,0.7605,0.8913
Normalizer,100,8,0.1,0.7506,0.7491,0.7506,0.7491,0.8857
Normalizer,200,6,0.1,0.7381,0.7368,0.7381,0.7371,0.8846
Normalizer,200,8,0.05,0.7472,0.7459,0.7472,0.7459,0.8836
Normalizer,100,8,0.05,0.7307,0.7291,0.7307,0.7291,0.879
Normalizer,100,6,0.1,0.7335,0.7318,0.7335,0.7322,0.8767
Normalizer,200,6,0.05,0.7301,0.7287,0.7301,0.7291,0.8759
Normalizer,100,6,0.05,0.7102,0.7083,0.7102,0.7087,0.8669
Normalizer,200,4,0.1,0.717,0.7154,0.717,0.7157,0.8651
Normalizer,100,4,0.1,0.6886,0.6863,0.6886,0.6866,0.8467
Normalizer,200,4,0.05,0.6915,0.6892,0.6915,0.6896,0.8462
Normalizer,100,4,0.05,0.6466,0.6439,0.6466,0.6429,0.8235
