Scaler,n_estimators,max_depth,ACC,Precision,Recall,F1,ROC-AUC
MinMaxScaler,100,20,0.8391,0.8397,0.8391,0.8393,0.9435
StandardScaler,100,None,0.8385,0.8392,0.8385,0.8388,0.9431
RobustScaler,100,20,0.8385,0.8392,0.8385,0.8388,0.9434
NoScaler,100,20,0.838,0.8386,0.838,0.8382,0.9434
NoScaler,200,20,0.838,0.8386,0.838,0.8382,0.9446
StandardScaler,100,20,0.838,0.8386,0.838,0.8382,0.9434
RobustScaler,200,20,0.8374,0.8381,0.8374,0.8377,0.9446
MinMaxScaler,200,20,0.8374,0.8381,0.8374,0.8377,0.9446
StandardScaler,200,20,0.8368,0.8375,0.8368,0.8371,0.9445
MinMaxScaler,100,None,0.8368,0.8374,0.8368,0.8371,0.9432
NoScaler,100,None,0.8363,0.8369,0.8363,0.8365,0.9432
NoScaler,200,None,0.8357,0.8365,0.8357,0.836,0.9443
RobustScaler,100,None,0.8357,0.8363,0.8357,0.8359,0.9431
MinMaxScaler,200,None,0.8351,0.8358,0.8351,0.8354,0.9442
RobustScaler,200,None,0.8346,0.8353,0.8346,0.8349,0.9442
StandardScaler,200,None,0.8334,0.8342,0.8334,0.8337,0.9443
MinMaxScaler,100,10,0.7948,0.7968,0.7948,0.7955,0.9246
MinMaxScaler,200,10,0.7948,0.7969,0.7948,0.7955,0.9253
NoScaler,100,10,0.7942,0.7962,0.7942,0.7949,0.9245
StandardScaler,200,10,0.7942,0.7963,0.7942,0.7949,0.9253
RobustScaler,100,10,0.7942,0.7962,0.7942,0.7949,0.9245
StandardScaler,100,10,0.7942,0.7962,0.7942,0.7949,0.9245
RobustScaler,200,10,0.7942,0.7963,0.7942,0.7949,0.9253
NoScaler,200,10,0.7942,0.7963,0.7942,0.7949,0.9252
Normalizer,200,20,0.7237,0.7243,0.7237,0.7239,0.8766
Normalizer,200,None,0.722,0.7224,0.722,0.7221,0.8748
Normalizer,100,None,0.7214,0.7211,0.7214,0.7211,0.873
Normalizer,100,20,0.7175,0.718,0.7175,0.7176,0.8749
Normalizer,100,10,0.7055,0.706,0.7055,0.7042,0.8575
Normalizer,200,10,0.7044,0.7054,0.7044,0.7032,0.8587
