Scaler,n_estimators,max_depth,ACC,Precision,Recall,F1,ROC-AUC
MinMaxScaler,200,None,0.842,0.8415,0.842,0.8417,0.948
RobustScaler,200,None,0.842,0.8415,0.842,0.8417,0.9482
StandardScaler,200,None,0.8415,0.8409,0.8415,0.8411,0.9482
StandardScaler,200,20,0.8409,0.8403,0.8409,0.8404,0.95
NoScaler,200,20,0.8403,0.8398,0.8403,0.8399,0.9501
NoScaler,200,None,0.8398,0.8392,0.8398,0.8394,0.9481
RobustScaler,200,20,0.8398,0.8392,0.8398,0.8393,0.9501
StandardScaler,100,20,0.8386,0.8379,0.8386,0.8381,0.9481
RobustScaler,100,20,0.8381,0.8374,0.8381,0.8375,0.9483
MinMaxScaler,200,20,0.8381,0.8375,0.8381,0.8377,0.9499
NoScaler,100,20,0.8375,0.8368,0.8375,0.8369,0.9482
MinMaxScaler,100,20,0.8369,0.8362,0.8369,0.8363,0.9481
NoScaler,100,None,0.8347,0.8341,0.8347,0.8343,0.946
StandardScaler,100,None,0.8341,0.8336,0.8341,0.8338,0.9461
RobustScaler,100,None,0.8341,0.8335,0.8341,0.8338,0.9462
MinMaxScaler,100,None,0.8335,0.833,0.8335,0.8332,0.946
MinMaxScaler,200,10,0.8119,0.8122,0.8119,0.812,0.9336
NoScaler,200,10,0.8114,0.8115,0.8114,0.8114,0.9337
StandardScaler,200,10,0.8114,0.8117,0.8114,0.8115,0.9337
RobustScaler,200,10,0.8114,0.8116,0.8114,0.8114,0.9337
MinMaxScaler,100,10,0.8063,0.8067,0.8063,0.8064,0.9329
NoScaler,100,10,0.8063,0.8067,0.8063,0.8064,0.933
StandardScaler,100,10,0.8057,0.8061,0.8057,0.8058,0.933
RobustScaler,100,10,0.8057,0.8062,0.8057,0.8059,0.933
Normalizer,200,20,0.7307,0.7286,0.7307,0.7288,0.8798
Normalizer,100,None,0.7284,0.7266,0.7284,0.7268,0.8783
Normalizer,100,20,0.7284,0.7268,0.7284,0.7268,0.8798
Normalizer,200,None,0.7261,0.7242,0.7261,0.7241,0.8796
Normalizer,200,10,0.7063,0.706,0.7063,0.7046,0.8647
Normalizer,100,10,0.7051,0.7049,0.7051,0.7032,0.8633
