Scaler,n_estimators,max_depth,learning_rate,ACC,Precision,Recall,F1,ROC-AUC
Normalizer,100,4,0.05,0.6842,0.8493,0.7126,0.775,0.7484
Normalizer,100,8,0.05,0.7193,0.8571,0.7586,0.8049,0.7433
Normalizer,100,8,0.1,0.6754,0.8289,0.7241,0.773,0.7373
NoScaler,100,4,0.05,0.6754,0.8378,0.7126,0.7702,0.7331
RobustScaler,100,4,0.05,0.6754,0.8378,0.7126,0.7702,0.7331
StandardScaler,100,4,0.05,0.6754,0.8378,0.7126,0.7702,0.7331
MinMaxScaler,100,4,0.05,0.6754,0.8378,0.7126,0.7702,0.7331
Normalizer,100,6,0.05,0.6842,0.8312,0.7356,0.7805,0.7309
Normalizer,200,8,0.05,0.693,0.825,0.7586,0.7904,0.728
Normalizer,200,6,0.05,0.6754,0.8289,0.7241,0.773,0.7267
StandardScaler,100,6,0.05,0.6491,0.8052,0.7126,0.7561,0.7263
NoScaler,100,6,0.05,0.6491,0.8052,0.7126,0.7561,0.7263
RobustScaler,100,6,0.05,0.6491,0.8052,0.7126,0.7561,0.7263
MinMaxScaler,100,6,0.05,0.6491,0.8052,0.7126,0.7561,0.7263
Normalizer,200,8,0.1,0.693,0.825,0.7586,0.7904,0.7246
Normalizer,100,6,0.1,0.6842,0.8228,0.7471,0.7831,0.7216
RobustScaler,100,4,0.1,0.6667,0.8101,0.7356,0.7711,0.7152
Normalizer,200,4,0.05,0.6667,0.8182,0.7241,0.7683,0.7152
StandardScaler,100,4,0.1,0.6667,0.8101,0.7356,0.7711,0.7152
MinMaxScaler,100,4,0.1,0.6667,0.8101,0.7356,0.7711,0.7152
NoScaler,100,4,0.1,0.6667,0.8101,0.7356,0.7711,0.7152
NoScaler,100,8,0.05,0.6228,0.7895,0.6897,0.7362,0.7135
RobustScaler,100,8,0.05,0.6228,0.7895,0.6897,0.7362,0.7135
MinMaxScaler,100,8,0.05,0.6228,0.7895,0.6897,0.7362,0.7135
StandardScaler,100,8,0.05,0.6228,0.7895,0.6897,0.7362,0.7135
MinMaxScaler,200,6,0.05,0.6754,0.8125,0.7471,0.7784,0.7105
StandardScaler,200,6,0.05,0.6754,0.8125,0.7471,0.7784,0.7105
NoScaler,200,6,0.05,0.6754,0.8125,0.7471,0.7784,0.7105
RobustScaler,200,6,0.05,0.6754,0.8125,0.7471,0.7784,0.7105
NoScaler,200,4,0.05,0.6404,0.7875,0.7241,0.7545,0.7088
RobustScaler,200,4,0.05,0.6404,0.7875,0.7241,0.7545,0.7088
MinMaxScaler,200,4,0.05,0.6404,0.7875,0.7241,0.7545,0.7088
StandardScaler,200,4,0.05,0.6404,0.7875,0.7241,0.7545,0.7088
RobustScaler,200,8,0.05,0.6491,0.7831,0.7471,0.7647,0.7058
MinMaxScaler,200,8,0.05,0.6491,0.7831,0.7471,0.7647,0.7058
NoScaler,200,8,0.05,0.6491,0.7831,0.7471,0.7647,0.7058
StandardScaler,200,8,0.05,0.6491,0.7831,0.7471,0.7647,0.7058
MinMaxScaler,100,6,0.1,0.6667,0.8101,0.7356,0.7711,0.7054
NoScaler,100,6,0.1,0.6667,0.8101,0.7356,0.7711,0.7054
StandardScaler,100,6,0.1,0.6667,0.8101,0.7356,0.7711,0.7054
RobustScaler,100,6,0.1,0.6667,0.8101,0.7356,0.7711,0.7054
StandardScaler,100,8,0.1,0.6842,0.8228,0.7471,0.7831,0.7046
MinMaxScaler,100,8,0.1,0.6842,0.8228,0.7471,0.7831,0.7046
NoScaler,100,8,0.1,0.6842,0.8228,0.7471,0.7831,0.7046
RobustScaler,100,8,0.1,0.6842,0.8228,0.7471,0.7831,0.7046
Normalizer,100,4,0.1,0.6667,0.8356,0.7011,0.7625,0.7011
StandardScaler,200,4,0.1,0.6842,0.8228,0.7471,0.7831,0.6969
NoScaler,200,4,0.1,0.6842,0.8228,0.7471,0.7831,0.6969
RobustScaler,200,4,0.1,0.6842,0.8228,0.7471,0.7831,0.6969
MinMaxScaler,200,4,0.1,0.6842,0.8228,0.7471,0.7831,0.6969
RobustScaler,200,8,0.1,0.6754,0.8125,0.7471,0.7784,0.6922
StandardScaler,200,8,0.1,0.6754,0.8125,0.7471,0.7784,0.6922
NoScaler,200,8,0.1,0.6754,0.8125,0.7471,0.7784,0.6922
Normalizer,200,6,0.1,0.7018,0.8272,0.7701,0.7976,0.6922
MinMaxScaler,200,8,0.1,0.6754,0.8125,0.7471,0.7784,0.6922
Normalizer,200,4,0.1,0.7105,0.8375,0.7701,0.8024,0.6841
NoScaler,200,6,0.1,0.693,0.8171,0.7701,0.7929,0.6824
MinMaxScaler,200,6,0.1,0.693,0.8171,0.7701,0.7929,0.6824
StandardScaler,200,6,0.1,0.693,0.8171,0.7701,0.7929,0.6824
RobustScaler,200,6,0.1,0.693,0.8171,0.7701,0.7929,0.6824
