Scaler,n_estimators,max_depth,ACC,Precision,Recall,F1,ROC-AUC
RobustScaler,200,20,0.8476,0.8487,0.8476,0.8477,0.948
NoScaler,200,20,0.8471,0.8483,0.8471,0.8471,0.948
StandardScaler,200,20,0.8465,0.8476,0.8465,0.8465,0.948
MinMaxScaler,200,20,0.8459,0.8472,0.8459,0.846,0.948
NoScaler,100,20,0.8431,0.8438,0.8431,0.8431,0.9473
RobustScaler,100,20,0.8414,0.8421,0.8414,0.8414,0.9473
StandardScaler,100,20,0.8414,0.8421,0.8414,0.8414,0.9473
MinMaxScaler,100,20,0.8414,0.8422,0.8414,0.8414,0.9473
RobustScaler,100,None,0.8403,0.8406,0.8403,0.8401,0.9464
MinMaxScaler,200,None,0.8391,0.8394,0.8391,0.8388,0.9467
MinMaxScaler,100,None,0.8385,0.8389,0.8385,0.8384,0.9463
RobustScaler,200,None,0.8385,0.839,0.8385,0.8383,0.9468
NoScaler,100,None,0.8385,0.8389,0.8385,0.8384,0.9464
NoScaler,200,None,0.8385,0.8388,0.8385,0.8383,0.9468
StandardScaler,200,None,0.8385,0.8387,0.8385,0.8382,0.9468
StandardScaler,100,None,0.8374,0.8378,0.8374,0.8373,0.9464
NoScaler,200,10,0.7914,0.7952,0.7914,0.7916,0.927
MinMaxScaler,200,10,0.7914,0.7955,0.7914,0.7917,0.927
RobustScaler,100,10,0.7914,0.7959,0.7914,0.7915,0.9266
StandardScaler,200,10,0.7914,0.7954,0.7914,0.7917,0.927
NoScaler,100,10,0.7908,0.7953,0.7908,0.7909,0.9266
StandardScaler,100,10,0.7908,0.7953,0.7908,0.7909,0.9265
RobustScaler,200,10,0.7908,0.7948,0.7908,0.7911,0.927
MinMaxScaler,100,10,0.7902,0.795,0.7902,0.7904,0.9266
Normalizer,100,None,0.7351,0.7337,0.7351,0.7339,0.8843
Normalizer,100,20,0.7317,0.7313,0.7317,0.7304,0.8842
Normalizer,200,20,0.7294,0.7281,0.7294,0.7281,0.8855
Normalizer,200,None,0.7237,0.7225,0.7237,0.7226,0.885
Normalizer,200,10,0.6902,0.6951,0.6902,0.6894,0.8618
Normalizer,100,10,0.6896,0.6946,0.6896,0.689,0.8614
