Scaler,n_estimators,max_depth,learning_rate,ACC,Precision,Recall,F1,ROC-AUC
MinMaxScaler,200,8,0.1,0.8869,0.8867,0.8869,0.8868,0.9714
NoScaler,200,8,0.1,0.8869,0.8867,0.8869,0.8868,0.9714
StandardScaler,200,8,0.1,0.8869,0.8867,0.8869,0.8868,0.9714
RobustScaler,200,8,0.1,0.8869,0.8867,0.8869,0.8868,0.9714
StandardScaler,200,6,0.1,0.883,0.8828,0.883,0.8828,0.9701
MinMaxScaler,200,6,0.1,0.883,0.8828,0.883,0.8828,0.9701
RobustScaler,200,6,0.1,0.883,0.8828,0.883,0.8828,0.9701
NoScaler,200,6,0.1,0.883,0.8828,0.883,0.8828,0.9701
RobustScaler,200,8,0.05,0.8824,0.8823,0.8824,0.8824,0.9683
MinMaxScaler,200,8,0.05,0.8824,0.8823,0.8824,0.8824,0.9683
StandardScaler,200,8,0.05,0.8824,0.8823,0.8824,0.8824,0.9683
NoScaler,200,8,0.05,0.8824,0.8823,0.8824,0.8824,0.9683
MinMaxScaler,100,8,0.1,0.8812,0.8811,0.8812,0.8812,0.9676
StandardScaler,100,8,0.1,0.8812,0.8811,0.8812,0.8812,0.9676
NoScaler,100,8,0.1,0.8812,0.8811,0.8812,0.8812,0.9676
RobustScaler,100,8,0.1,0.8812,0.8811,0.8812,0.8812,0.9676
RobustScaler,100,6,0.1,0.8688,0.8686,0.8688,0.8687,0.9615
StandardScaler,100,6,0.1,0.8688,0.8686,0.8688,0.8687,0.9615
MinMaxScaler,100,6,0.1,0.8688,0.8686,0.8688,0.8687,0.9615
NoScaler,100,6,0.1,0.8688,0.8686,0.8688,0.8687,0.9615
RobustScaler,200,6,0.05,0.867,0.867,0.867,0.867,0.9607
MinMaxScaler,200,6,0.05,0.867,0.867,0.867,0.867,0.9607
StandardScaler,200,6,0.05,0.867,0.867,0.867,0.867,0.9607
NoScaler,200,6,0.05,0.867,0.867,0.867,0.867,0.9607
NoScaler,100,8,0.05,0.8688,0.8688,0.8688,0.8687,0.9602
RobustScaler,100,8,0.05,0.8688,0.8688,0.8688,0.8687,0.9602
StandardScaler,100,8,0.05,0.8688,0.8688,0.8688,0.8687,0.9602
MinMaxScaler,100,8,0.05,0.8688,0.8688,0.8688,0.8687,0.9602
MinMaxScaler,200,4,0.1,0.8324,0.8323,0.8324,0.8324,0.9509
RobustScaler,200,4,0.1,0.8324,0.8323,0.8324,0.8324,0.9509
StandardScaler,200,4,0.1,0.8324,0.8323,0.8324,0.8324,0.9509
NoScaler,200,4,0.1,0.8324,0.8323,0.8324,0.8324,0.9509
MinMaxScaler,100,6,0.05,0.825,0.8251,0.825,0.8247,0.9456
StandardScaler,100,6,0.05,0.825,0.8251,0.825,0.8247,0.9456
RobustScaler,100,6,0.05,0.825,0.8251,0.825,0.8247,0.9456
NoScaler,100,6,0.05,0.825,0.8251,0.825,0.8247,0.9456
NoScaler,100,4,0.1,0.7784,0.7787,0.7784,0.7785,0.922
MinMaxScaler,100,4,0.1,0.7784,0.7787,0.7784,0.7785,0.922
StandardScaler,100,4,0.1,0.7784,0.7787,0.7784,0.7785,0.922
RobustScaler,100,4,0.1,0.7784,0.7787,0.7784,0.7785,0.922
StandardScaler,200,4,0.05,0.779,0.7793,0.779,0.779,0.9214
NoScaler,200,4,0.05,0.779,0.7793,0.779,0.779,0.9214
RobustScaler,200,4,0.05,0.779,0.7793,0.779,0.779,0.9214
MinMaxScaler,200,4,0.05,0.779,0.7793,0.779,0.779,0.9214
Normalizer,200,8,0.1,0.746,0.7444,0.746,0.7448,0.8887
RobustScaler,100,4,0.05,0.7369,0.7369,0.7369,0.7365,0.8883
MinMaxScaler,100,4,0.05,0.7369,0.7369,0.7369,0.7365,0.8883
StandardScaler,100,4,0.05,0.7369,0.7369,0.7369,0.7365,0.8883
NoScaler,100,4,0.05,0.7369,0.7369,0.7369,0.7365,0.8883
Normalizer,100,8,0.1,0.7443,0.7428,0.7443,0.7431,0.886
Normalizer,200,8,0.05,0.7398,0.7381,0.7398,0.7385,0.8835
Normalizer,200,6,0.1,0.7438,0.7423,0.7438,0.7428,0.8823
Normalizer,100,8,0.05,0.725,0.7234,0.725,0.7234,0.8768
Normalizer,100,6,0.1,0.7324,0.7308,0.7324,0.7311,0.8751
Normalizer,200,6,0.05,0.7358,0.7347,0.7358,0.7349,0.8731
Normalizer,100,6,0.05,0.7114,0.7108,0.7114,0.7101,0.8636
Normalizer,200,4,0.1,0.7136,0.7121,0.7136,0.7123,0.8631
Normalizer,100,4,0.1,0.6852,0.684,0.6852,0.6826,0.8438
Normalizer,200,4,0.05,0.683,0.681,0.683,0.6803,0.843
Normalizer,100,4,0.05,0.6494,0.6487,0.6494,0.6442,0.8231
