Scaler,n_estimators,max_depth,learning_rate,ACC,Precision,Recall,F1,ROC-AUC
Normalizer,100,8,0.1,0.6842,0.7632,0.7632,0.7632,0.7493
Normalizer,100,8,0.05,0.693,0.7662,0.7763,0.7712,0.7486
Normalizer,200,8,0.05,0.6579,0.7403,0.75,0.7451,0.7417
NoScaler,200,8,0.05,0.6754,0.7468,0.7763,0.7613,0.7403
MinMaxScaler,200,8,0.05,0.6754,0.7468,0.7763,0.7613,0.7403
RobustScaler,200,8,0.05,0.6754,0.7468,0.7763,0.7613,0.7403
StandardScaler,200,8,0.05,0.6754,0.7468,0.7763,0.7613,0.7403
Normalizer,100,6,0.1,0.6579,0.7467,0.7368,0.7417,0.7386
Normalizer,100,6,0.05,0.6667,0.7639,0.7237,0.7432,0.7365
StandardScaler,200,8,0.1,0.6579,0.7342,0.7632,0.7484,0.733
RobustScaler,200,8,0.1,0.6579,0.7342,0.7632,0.7484,0.733
Normalizer,200,8,0.1,0.6754,0.7468,0.7763,0.7613,0.733
NoScaler,200,8,0.1,0.6579,0.7342,0.7632,0.7484,0.733
MinMaxScaler,200,8,0.1,0.6579,0.7342,0.7632,0.7484,0.733
MinMaxScaler,100,8,0.05,0.6579,0.7403,0.75,0.7451,0.7323
StandardScaler,100,8,0.05,0.6579,0.7403,0.75,0.7451,0.7323
NoScaler,100,8,0.05,0.6579,0.7403,0.75,0.7451,0.7323
RobustScaler,100,8,0.05,0.6579,0.7403,0.75,0.7451,0.7323
RobustScaler,200,4,0.1,0.6579,0.7284,0.7763,0.7516,0.7292
MinMaxScaler,200,4,0.1,0.6579,0.7284,0.7763,0.7516,0.7292
StandardScaler,200,4,0.1,0.6579,0.7284,0.7763,0.7516,0.7292
NoScaler,200,4,0.1,0.6579,0.7284,0.7763,0.7516,0.7292
Normalizer,200,6,0.05,0.6754,0.7468,0.7763,0.7613,0.7275
Normalizer,200,6,0.1,0.6404,0.7215,0.75,0.7355,0.7251
MinMaxScaler,100,8,0.1,0.6491,0.725,0.7632,0.7436,0.7244
StandardScaler,200,6,0.05,0.6842,0.7439,0.8026,0.7722,0.7244
NoScaler,100,8,0.1,0.6491,0.725,0.7632,0.7436,0.7244
MinMaxScaler,200,6,0.05,0.6842,0.7439,0.8026,0.7722,0.7244
RobustScaler,100,8,0.1,0.6491,0.725,0.7632,0.7436,0.7244
NoScaler,200,6,0.05,0.6842,0.7439,0.8026,0.7722,0.7244
RobustScaler,200,6,0.05,0.6842,0.7439,0.8026,0.7722,0.7244
StandardScaler,100,8,0.1,0.6491,0.725,0.7632,0.7436,0.7244
Normalizer,100,4,0.05,0.6667,0.8065,0.6579,0.7246,0.7233
RobustScaler,200,6,0.1,0.6842,0.7439,0.8026,0.7722,0.7223
NoScaler,200,6,0.1,0.6842,0.7439,0.8026,0.7722,0.7223
MinMaxScaler,200,6,0.1,0.6842,0.7439,0.8026,0.7722,0.7223
StandardScaler,200,6,0.1,0.6842,0.7439,0.8026,0.7722,0.7223
RobustScaler,200,4,0.05,0.6316,0.7125,0.75,0.7308,0.7181
MinMaxScaler,200,4,0.05,0.6316,0.7125,0.75,0.7308,0.7181
NoScaler,200,4,0.05,0.6316,0.7125,0.75,0.7308,0.7181
StandardScaler,200,4,0.05,0.6316,0.7125,0.75,0.7308,0.7181
NoScaler,100,4,0.05,0.6667,0.7639,0.7237,0.7432,0.7175
StandardScaler,100,6,0.05,0.6491,0.7308,0.75,0.7403,0.7175
NoScaler,100,6,0.05,0.6491,0.7308,0.75,0.7403,0.7175
RobustScaler,100,4,0.05,0.6667,0.7639,0.7237,0.7432,0.7175
MinMaxScaler,100,6,0.05,0.6491,0.7308,0.75,0.7403,0.7175
StandardScaler,100,4,0.05,0.6667,0.7639,0.7237,0.7432,0.7175
MinMaxScaler,100,4,0.05,0.6667,0.7639,0.7237,0.7432,0.7175
RobustScaler,100,6,0.05,0.6491,0.7308,0.75,0.7403,0.7175
NoScaler,100,6,0.1,0.6842,0.7381,0.8158,0.775,0.7154
RobustScaler,100,6,0.1,0.6842,0.7381,0.8158,0.775,0.7154
StandardScaler,100,6,0.1,0.6842,0.7381,0.8158,0.775,0.7154
MinMaxScaler,100,6,0.1,0.6842,0.7381,0.8158,0.775,0.7154
StandardScaler,100,4,0.1,0.6404,0.716,0.7632,0.7389,0.7143
MinMaxScaler,100,4,0.1,0.6404,0.716,0.7632,0.7389,0.7143
NoScaler,100,4,0.1,0.6404,0.716,0.7632,0.7389,0.7143
RobustScaler,100,4,0.1,0.6404,0.716,0.7632,0.7389,0.7143
Normalizer,100,4,0.1,0.6491,0.7571,0.6974,0.726,0.7126
Normalizer,200,4,0.05,0.6491,0.7368,0.7368,0.7368,0.7123
Normalizer,200,4,0.1,0.6316,0.7125,0.75,0.7308,0.7019
